Year,Analyte,Treatment,BayesPosteriorMedian_kg,BayesLower95_kg,BayesUpper95_kg,MLPointTotal_kg,MLLower95_kg,MLUpper95_kg,n_expected_physical_events,n_observed_event_loads,observed_event_fraction,ObservedAnnualLoadComplete,n_complete_plots,ObservedAnnualLoad_kg,ObservedAnnualLoadRangeLow_kg,ObservedAnnualLoadRangeHigh_kg,ObservedIntervalType
2011,NH4,CT,0.01515,0.001256,0.03724,0.02973,0.0182,0.1827,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NH4,MT,0.012,0.0007841,0.03378,0.03329,0.02053,0.218,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NH4,ST,0.01164,0.0007843,0.03414,0.02101,0.0122,0.19,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NO2,CT,0.04898,0,0.2299,0.047,0.03203,0.2282,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NO2,MT,0.03301,0,0.1944,0.05987,0.0404,0.3061,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NO2,ST,0.03524,0,0.1956,0.04697,0.02934,0.2929,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,NO3,CT,0.9687,0.6401,1.391,0.7172,0.5261,2.551,6,3,0.5,Incomplete,0.0,-,-,-,none
2011,NO3,MT,0.8428,0.4902,1.318,0.88,0.6326,3.209,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,NO3,ST,0.8612,0.5234,1.296,0.7778,0.5648,2.69,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,OP,CT,0.02066,0.006708,0.0422,0.02071,0.01233,0.1599,6,3,0.5,Incomplete,0.0,-,-,-,none
2011,OP,MT,0.01815,0.005068,0.03661,0.03024,0.01867,0.2188,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,OP,ST,0.01778,0.004907,0.03594,0.01724,0.01026,0.1607,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,Se,CT,0.0008649,0.0004728,0.001263,0.0346,0.02156,0.2103,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,Se,MT,0.0006638,0.000332,0.001111,0.04161,0.02605,0.2617,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,Se,ST,0.0006751,0.0003437,0.001086,0.03055,0.01884,0.2186,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TDS,CT,114.7,60.02,177.3,2.814,2.119,8.993,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TDS,MT,101.5,47.65,167.3,3.143,2.301,11.3,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TDS,ST,102.5,51.43,165.7,3.315,2.435,12.06,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TKN,CT,0.2896,0.009085,0.9285,0.4609,0.3427,1.603,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TKN,MT,0.2241,0.009165,0.7475,0.4898,0.3457,1.957,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TKN,ST,0.2358,0.0003327,0.8293,0.415,0.3076,1.514,6,0,0.0,Incomplete,0.0,-,-,-,none
2011,TN,CT,0.7696,0.3763,1.363,0.4436,0.3184,1.668,6,3,0.5,Incomplete,0.0,-,-,-,none
2011,TN,MT,0.6129,0.243,1.129,0.4935,0.3521,1.869,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,TN,ST,0.61,0.2225,1.082,0.3973,0.3007,1.369,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,TP,CT,0.1433,0.01113,0.3687,0.1395,0.09668,0.5738,6,3,0.5,Incomplete,0.0,-,-,-,none
2011,TP,MT,0.116,0.002287,0.3301,0.1395,0.0982,0.5662,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,TP,ST,0.104,0.001894,0.3026,0.1303,0.0859,0.5563,6,2,0.3333333333333333,Incomplete,0.0,-,-,-,none
2011,TSS,CT,108.6,10.17,279.9,116.3,86.02,393.7,6,4,0.6666666666666666,Complete,1.0,119,-,-,none
2011,TSS,MT,50.56,0.9183,187.8,126.8,91.68,430.8,6,3,0.5,Incomplete,0.0,-,-,-,none
2011,TSS,ST,39.64,0,178.3,103.8,71.21,394.6,6,5,0.8333333333333334,Complete,1.0,67.33,-,-,none
2012,NH4,CT,0.01801,0.0009045,0.0546,0.03131,0.0227,0.1809,10,2,0.2,Incomplete,0.0,-,-,-,none
2012,NH4,MT,0.01534,0.001584,0.04454,0.03667,0.02558,0.2253,10,1,0.1,Incomplete,0.0,-,-,-,none
2012,NH4,ST,0.01279,0.0009633,0.04011,0.02666,0.01938,0.1587,10,2,0.2,Incomplete,0.0,-,-,-,none
2012,NO2,CT,0.07638,0,0.3424,0.04785,0.03572,0.2227,10,2,0.2,Incomplete,0.0,-,-,-,none
2012,NO2,MT,0.05112,0,0.2527,0.05951,0.04182,0.2743,10,1,0.1,Incomplete,0.0,-,-,-,none
2012,NO2,ST,0.04649,0,0.2374,0.0453,0.03437,0.2222,10,2,0.2,Incomplete,0.0,-,-,-,none
2012,NO3,CT,1.508,0.8873,2.214,0.6973,0.575,2.155,10,6,0.6,Incomplete,0.0,-,-,-,none
2012,NO3,MT,1.368,0.88,1.899,0.8906,0.6708,3.042,10,5,0.5,Incomplete,0.0,-,-,-,none
2012,NO3,ST,1.206,0.7504,1.74,0.6715,0.5378,2.065,10,4,0.4,Incomplete,0.0,-,-,-,none
2012,OP,CT,0.03721,0.01446,0.06623,0.02241,0.01596,0.1439,10,6,0.6,Incomplete,0.0,-,-,-,none
2012,OP,MT,0.03685,0.0183,0.06415,0.03108,0.02067,0.1803,10,5,0.5,Incomplete,0.0,-,-,-,none
2012,OP,ST,0.02673,0.01021,0.05064,0.01991,0.01439,0.1555,10,4,0.4,Incomplete,0.0,-,-,-,none
2012,Se,CT,0.001281,0.0006284,0.001992,0.03551,0.02581,0.1773,10,2,0.2,Incomplete,0.0,-,-,-,none
2012,Se,MT,0.0009259,0.0005013,0.001455,0.04351,0.03084,0.2362,10,1,0.1,Incomplete,0.0,-,-,-,none
2012,Se,ST,0.0008394,0.0004305,0.00133,0.03323,0.02386,0.1887,10,2,0.2,Incomplete,0.0,-,-,-,none
2012,TDS,CT,153.7,59.6,251,2.673,2.117,8.368,10,2,0.2,Incomplete,0.0,-,-,-,none
2012,TDS,MT,138,68.14,216.8,2.961,2.318,8.758,10,1,0.1,Incomplete,0.0,-,-,-,none
2012,TDS,ST,124.4,58.24,202.6,2.561,2.033,7.582,10,2,0.2,Incomplete,0.0,-,-,-,none
2012,TKN,CT,0.7407,0.1144,1.824,0.3609,0.29,1.183,10,2,0.2,Incomplete,0.0,-,-,-,none
2012,TKN,MT,0.5777,0.09904,1.356,0.432,0.3276,1.348,10,1,0.1,Incomplete,0.0,-,-,-,none
2012,TKN,ST,0.5041,0.06446,1.283,0.3325,0.2599,1.047,10,2,0.2,Incomplete,0.0,-,-,-,none
2012,TN,CT,0.493,0.1251,1.192,0.3524,0.2824,1.174,10,6,0.6,Incomplete,0.0,-,-,-,none
2012,TN,MT,0.4218,0.1294,1.002,0.3499,0.2674,1.195,10,5,0.5,Incomplete,0.0,-,-,-,none
