Year,Treatment,BayesPosteriorMean_kL,BayesLower95_kL,BayesUpper95_kL,MLPointTotal_kL,MLLower95_kL,MLUpper95_kL,n_expected_physical_events,n_observed_event_volumes,observed_event_fraction,ObservedAnnualVolumeComplete,n_complete_plots,ObservedAnnualVolume_kL,ObservedAnnualVolumeRangeLow_kL,ObservedAnnualVolumeRangeHigh_kL,ObservedIntervalType
2011,CT,134.83534227254023,94.20085380037182,174.83914609434495,99.48497395885411,73.01462546812473,286.5125235435831,6,4,0.6666666666666666,True,1.0,95.65738,,,none
2011,MT,115.24369506776468,73.29730122174173,161.794171870261,115.56786216164053,83.55195869113656,350.30180120029013,6,3,0.5,False,0.0,,,,none
2011,ST,117.58612881817668,79.53248352344788,157.3030927319125,117.91719470003059,85.91290589511814,341.76438076763003,6,5,0.8333333333333334,True,1.0,145.38437,,,none
2012,CT,197.8212000951296,127.6607149601774,268.05954262862866,102.77931752687489,82.55473845603674,253.23071553727533,10,10,1.0,True,1.0,68.231,,,none
2012,MT,162.26012314067634,113.1249102102413,212.03770238541347,117.73031453281502,90.90977940212704,305.56640068610244,10,7,0.7,False,0.0,,,,none
2012,ST,150.75475497891392,97.12579649354768,206.10958125118165,98.42422609178792,77.93086403326355,253.7952685122652,10,7,0.7,False,0.0,,,,none
2013,CT,180.69607226113624,130.7307839242477,228.22807815346584,106.18248871543948,82.6530922364012,290.23973798642896,7,5,0.7142857142857143,False,0.0,,,,none
2013,MT,175.3944637358185,131.27227397897602,227.24684582311,146.59294484669724,114.30793472831147,394.5853804239041,7,4,0.5714285714285714,False,0.0,,,,none
2013,ST,153.12644736839596,111.27404925890336,195.17318466090225,105.80225320354354,81.04517846385664,281.2527990292481,7,6,0.8571428571428571,False,0.0,,,,none
2014,CT,140.52273581465045,107.19817683247048,174.62730555032957,81.72409135864113,58.18182165828154,242.0050092327767,5,4,0.8,False,0.0,,,,none
2014,MT,83.2002582687293,46.73214043241992,121.2165976876488,50.527305963705174,33.2237040438573,207.7718900100845,5,3,0.6,False,0.0,,,,none
2014,ST,87.84864342343731,52.36812949678376,125.07971076250264,52.298187544191,37.70566335118488,163.58092941046556,5,4,0.8,False,0.0,,,,none
2015,CT,155.6851223719953,117.0726990516919,195.14703987937557,141.50624716132032,107.59663066023776,366.4295703930767,6,6,1.0,True,2.0,132.37093,102.98230000000001,161.75956,descriptive replicate minimum-to-maximum range
