Method,Scenario,Analyte,ComparisonTreatment,mean,median,lower_95,upper_95,n_draws,absolute_mean_kg,absolute_median_kg,absolute_lower_95_kg,absolute_upper_95_kg,n_absolute_draws,n_total_draws,n_valid_percent_draws,probability_treatment_lower_than_ct,n_invalid_percent_draws,fraction_invalid_percent_draws,definition
BayesSensitivity,annual_draw_truncation_at_zero,TKN,ST,-0.32776995825985805,0.144831105626832,-27.17537298419064,21.90612410920829,1500,0.04092026618003293,0.010407984246200819,-1.9686071325293304,2.196046985956151,1500,1500,1500,0.504,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TN,MT,6.565388037583459,6.917077502068288,-17.782982733345914,29.043872289210544,1500,0.9321807030384325,0.9800312146561883,-2.5477617071143213,4.222109209370816,1500,1500,1500,0.7446666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TN,ST,4.052649190233775,4.202763415756989,-20.325591265272458,26.283416045013762,1500,0.5622182956132192,0.6018822647883928,-2.825300085682681,3.6946323607954334,1500,1500,1500,0.6413333333333333,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TP,MT,-41.08360391897957,-31.3138855094807,-155.95124045504457,11.822074750805998,1500,-0.44221419632618336,-0.44923843492452353,-1.1603015528725722,0.27698725407060587,1500,1500,1500,0.09466666666666666,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TP,ST,-25.316991473829795,-21.20508190119645,-97.22106721760736,19.70800572281917,1500,-0.31197823090590837,-0.29917605245961587,-1.0202853286911269,0.30909660552942897,1500,1500,1500,0.166,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TSS,MT,6.369586795916706,7.784018682160986,-34.602084042613534,36.78738236638794,1500,171.52563377302482,146.9018707126986,-483.10070608731706,945.4696812342485,1500,1500,1500,0.6813333333333333,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,annual_draw_truncation_at_zero,TSS,ST,9.163543928753983,10.534358793164877,-27.537540724853454,39.85552178587896,1500,200.3439390250898,191.88204310941433,-429.50665771497637,878.8699756156891,1500,1500,1500,0.722,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,raw_annual_draws_display_floor_only,NH4,MT,5.104661557389077,6.269935453949129,-30.18709271643603,35.9460020716424,1500,0.016058723045034768,0.01622816445750569,-0.07823637953333235,0.114800778133775,1500,1500,1500,0.6306666666666667,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,raw_annual_draws_display_floor_only,NH4,ST,1.4428549608706687,2.3054291048581774,-34.573568474972596,32.23696670422949,1500,0.005695859819021439,0.007039380153409838,-0.09998112242233323,0.10751662220432047,1500,1500,1500,0.564,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
BayesSensitivity,raw_annual_draws_display_floor_only,NO2,MT,15.573506969032186,17.448671797149956,-17.819308845335463,41.9543800100391,1500,0.17579952892226547,0.15071967365632505,-0.129247720709814,0.6083269812864522,1500,1500,1500,0.8433333333333334,0,0.0,"100 * (CT - treatment) / CT within draw; positive means lower than CT; missing, nonpositive, or <=1e-12 kg CT denominators are invalid and retained in QC"
