PhysicalEventID,Analyte,Year,Treatment,Observed_mg_L,n_source_observations,Method,Modeled_mg_L,central_estimate_type,resolution
PE_f6579064c70952c33aa8,NO2,2024,ST,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_01024210b88310ac1815,NO2,2025,CT,0.7275,4,Bayes,0.7304409402278087,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_30d8eee773ba85ed7ec9,NO2,2025,CT,0.8445,4,Bayes,0.8536785351445131,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_41cebec90b66f3ef63c2,NO2,2025,CT,0.875,3,Bayes,0.8839002505478796,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_5c35b22fc4eba02df28c,NO2,2025,CT,0.854,4,Bayes,0.8547037437529191,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_72b83136bc50254a55a6,NO2,2025,CT,0.7755000000000001,4,Bayes,0.781351613649012,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_73a092189bd19f7de823,NO2,2025,CT,0.866,4,Bayes,0.8618451611327829,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_79ea2eb78bef48e2d163,NO2,2025,CT,0.8,4,Bayes,0.8034522699049795,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_85771b5590cb80ee80b1,NO2,2025,CT,0.799,4,Bayes,0.8051940547194385,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_92e7ac2243498d97f3e0,NO2,2025,CT,0.864,4,Bayes,0.8700874252101344,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_961b16815e7ba5016bdb,NO2,2025,CT,0.8485,4,Bayes,0.8535581750604878,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_bd4a80359ce1de5f5729,NO2,2025,CT,0.7785,4,Bayes,0.782980514127074,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_ef5b618a3b1b8ffbd8e4,NO2,2025,CT,0.715,4,Bayes,0.7220501982287943,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_2314eec6a45e0be9e203,NO2,2025,MT,0.7815000000000001,4,Bayes,0.7825749239796468,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_39c8810e26ab4ca7933c,NO2,2025,MT,0.8294999999999999,4,Bayes,0.830750547797468,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_676050582c291c72204b,NO2,2025,MT,0.7244999999999999,4,Bayes,0.7300025431056654,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_6c85627a623e6c9dfbb4,NO2,2025,MT,0.8674999999999999,4,Bayes,0.8727105508284978,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_7d221972180d28e4f760,NO2,2025,MT,0.779,4,Bayes,0.7825824930361094,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_a033c0958b5b88a75684,NO2,2025,MT,0.8305,4,Bayes,0.8301719522997413,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_a36448d6fe89c398bac0,NO2,2025,MT,0.724,4,Bayes,0.7277979605933919,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_c1edec673d6e55fe03b0,NO2,2025,MT,0.8614999999999999,4,Bayes,0.8663707868682463,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_c63b91d3075e6834f32e,NO2,2025,MT,0.9365,4,Bayes,0.943044238255832,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_e6892c1c4df9f9956548,NO2,2025,MT,0.9245000000000001,4,Bayes,0.9296693528375004,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_f2544036a8cdc2b562ca,NO2,2025,MT,0.8625,4,Bayes,0.8680779500997688,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_ff8985d7bd1f94902d4e,NO2,2025,MT,0.859,4,Bayes,0.8621847122408196,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_0373cedd6c6b07cdac38,NO2,2025,ST,0.813,4,Bayes,0.8168796837949963,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_0c2d197a5610b0bbb10e,NO2,2025,ST,0.7235,4,Bayes,0.7256505488639311,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_2000666922e9baf4491a,NO2,2025,ST,0.8574999999999999,4,Bayes,0.8574184436312322,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_326f1ee42ddcd2cd3c31,NO2,2025,ST,0.9015,4,Bayes,0.909778868689266,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_33b48c45a8f1d7ee984a,NO2,2025,ST,0.726,4,Bayes,0.727692908978782,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_44d1a7f433fe780ac78b,NO2,2025,ST,0.8614999999999999,4,Bayes,0.8678812003451006,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_55ff1c1f21eee62bac5f,NO2,2025,ST,0.855,4,Bayes,0.86329688819306,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_69bf4666a40285ef26b8,NO2,2025,ST,0.8865000000000001,4,Bayes,0.8918216182126136,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_6db16cd7a8da79e5651d,NO2,2025,ST,0.7785,4,Bayes,0.7835573276850392,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_744bc567dc348be5d05b,NO2,2025,ST,0.8625,4,Bayes,0.8626664956487948,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_76eec8ae39fe2d6f5031,NO2,2025,ST,0.814,4,Bayes,0.8168576155086413,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_a873c6f206750ebc6cd1,NO2,2025,ST,0.7765,4,Bayes,0.782600317003844,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_074f45d65401c8fdb3f5,NO2,2022,CT,0.0,3,ML,0.0426395466989852,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_26a08057b7264787ef06,NO2,2022,CT,0.0,1,ML,0.0,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_32d4186ac5b7c925427a,NO2,2022,CT,0.0,2,ML,0.0024857794597836,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_438127a754ce2a504c09,NO2,2022,CT,0.0,2,ML,0.1512642092992795,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_5ae2ded12c8023b32c0a,NO2,2022,CT,1.7,3,ML,0.94973389466192,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_b8cc705881475991ea0f,NO2,2022,CT,0.0,2,ML,0.0953199517053861,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_c409fdcd758dbf3b86bb,NO2,2022,CT,0.0,1,ML,0.0081888871983194,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_db44df4caa1727e348be,NO2,2022,CT,0.0,3,ML,0.0564208466602412,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_df160c088a0a2ccf4d3e,NO2,2022,CT,0.0,1,ML,0.0516650165077155,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_eb7e4b7d6a65d5aa6a4b,NO2,2022,CT,0.0,3,ML,0.0577261542174542,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_14298b67e71efd6380df,NO2,2022,MT,1.6,3,ML,0.9181480520013312,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_260d9de653b38957c0fe,NO2,2022,MT,0.0,2,ML,0.0184768117445136,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_344e7a9bb935a4829210,NO2,2022,MT,0.0,2,ML,0.164102215648872,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_3fc5dfce0fb4c6220e16,NO2,2022,MT,0.0,3,ML,0.0089464440057472,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_5556897f607258fe9362,NO2,2022,MT,0.0,3,ML,0.0258116453820473,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_912d046edf542edb9c36,NO2,2022,MT,0.0,2,ML,0.0252115405920803,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
PE_a5a3e7d8a5e84189d18a,NO2,2022,MT,0.0,3,ML,0.0502218982762782,full_record_deterministic_prediction,one median measured concentration per PhysicalEventID x Analyte
