PhysicalEventID,Analyte,Year,Treatment,Observed_mg_L,n_source_observations,Method,Modeled_mg_L,central_estimate_type,resolution
PE_14298b67e71efd6380df,NO2,2022,MT,1.6,3,Bayes,2.0646615521293703,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_260d9de653b38957c0fe,NO2,2022,MT,0.0,2,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_344e7a9bb935a4829210,NO2,2022,MT,0.0,2,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_3fc5dfce0fb4c6220e16,NO2,2022,MT,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_5556897f607258fe9362,NO2,2022,MT,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_912d046edf542edb9c36,NO2,2022,MT,0.0,2,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_a5a3e7d8a5e84189d18a,NO2,2022,MT,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_aa383c8c9a57591dc206,NO2,2022,MT,0.0,2,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_afa287a09ff3e5bab631,NO2,2022,MT,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_d41d88e8b515629ab69d,NO2,2022,MT,0.0,1,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_f0406a7690a0e8ef2920,NO2,2022,MT,0.0,2,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_0656666c2b33c1a71dfc,NO2,2022,ST,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_230aa97120550e292bc7,NO2,2022,ST,0.0,2,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_3eefa2d11be77738359b,NO2,2022,ST,1.6,3,Bayes,1.58390685334075,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_425f14902ee81a16cfeb,NO2,2022,ST,0.0,1,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_70d3cc17c47edebe68ad,NO2,2022,ST,0.0,2,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_7cf61966fec7c7b6adc5,NO2,2022,ST,0.0,2,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_901ccaf6a3ac1105504f,NO2,2022,ST,0.0,2,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_99ec6d6affe898b0e8d2,NO2,2022,ST,0.0,1,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_a8630556d08f6cec7f6a,NO2,2022,ST,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_ceb9c23bc0db5be24388,NO2,2022,ST,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_dc25029fed7bf1b276c5,NO2,2022,ST,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_1607bd85c5b858754283,NO2,2023,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_17f8630aaa6312f3912a,NO2,2023,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_21ef5b6342274d9e3203,NO2,2023,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_222b0b4beba254c530d7,NO2,2023,CT,0.0,3,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_577d295e76e129c37688,NO2,2023,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_5bf168b414e63b4f63f3,NO2,2023,CT,0.0,5,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_7131d35e8cd02b882d26,NO2,2023,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_8474551aa700ba7170c1,NO2,2023,CT,0.182,1,Bayes,0.1847605954798762,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_bf4d5c43e21a82c51f4f,NO2,2023,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_ee0d84028e7204c9f8b6,NO2,2023,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_f071df1dfa8de45515c1,NO2,2023,CT,0.164,1,Bayes,0.1689069023652735,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_f7a5e5b2a4c1c3239774,NO2,2023,CT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_199b5b7c1aaa1098c691,NO2,2023,MT,0.288,1,Bayes,0.2855866374950301,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_23621b170748f0fc60c2,NO2,2023,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_248493668060338e72e6,NO2,2023,MT,0.0,5,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_3694e2f2ef6dd2e8480f,NO2,2023,MT,0.152,1,Bayes,0.1528221565678354,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_7751232195de561530b0,NO2,2023,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_8d90127b55de039c6ab7,NO2,2023,MT,0.0,5,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_9d88eac30a91208d302b,NO2,2023,MT,0.0,4,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
PE_a5dd6f772a1d2e7d821c,NO2,2023,MT,0.0,6,Bayes,0.0,posterior_predictive_mean,one median measured concentration per PhysicalEventID x Analyte
