Scenario,Analyte,Treatment,Draw,CumulativeLoad_kg,Method
annual_draw_truncation_at_zero,NH4,CT,3,0.2526776325424548,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,4,0.3347350973151939,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,5,0.3578493719952964,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,6,0.27184423357840337,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,19,0.1532558372447849,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,30,0.26423118070018875,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,32,0.21917967813417558,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,34,0.22276345894539426,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,35,0.29799764020604713,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,37,0.20193832770892697,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,46,0.28891925058952317,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,49,0.4100065399823633,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,51,0.49171767184287857,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,52,0.3943340801400652,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,54,0.41865207010732935,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,55,0.4719514085120041,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,58,0.31096951059323086,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,59,0.30928132252660956,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,60,0.3610783130151829,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,64,0.24681022696295643,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,68,0.33789488181214145,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,69,0.2227291088839425,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,73,0.3427551044172564,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,74,0.1675955817430526,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,75,0.17153432871405497,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,78,0.27728983932585444,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,82,0.19495775427741696,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,88,0.11727889110994165,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,93,0.4512637589780082,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,96,0.18979963925694684,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,99,0.29495115993565846,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,101,0.29469396516022434,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,103,0.28740561538939435,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,106,0.23319399782844313,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,110,0.2599401577441015,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,111,0.3033320540013637,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,112,0.30236836223171276,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,113,0.30486947475672954,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,114,0.2663847202672376,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,120,0.3302378441942731,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,121,0.28941366379022393,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,123,0.2309319291989552,BayesSensitivity
