Year,Treatment,BayesPosteriorMean_kL,BayesLower95_kL,BayesUpper95_kL,MLPointTotal_kL,MLLower95_kL,MLUpper95_kL,n_expected_physical_events,n_observed_event_volumes,observed_event_fraction,ObservedAnnualVolumeComplete,n_complete_plots,ObservedAnnualVolume_kL,ObservedAnnualVolumeRangeLow_kL,ObservedAnnualVolumeRangeHigh_kL,ObservedIntervalType
2011,CT,134.8,94.2,174.8,99.48,73.01,286.5,6,4,0.6666666666666666,Complete,1.0,95.66,-,-,none
2011,MT,115.2,73.3,161.8,115.6,83.55,350.3,6,3,0.5,Incomplete,0.0,-,-,-,none
2011,ST,117.6,79.53,157.3,117.9,85.91,341.8,6,5,0.8333333333333334,Complete,1.0,145.4,-,-,none
2012,CT,197.8,127.7,268.1,102.8,82.55,253.2,10,10,1.0,Complete,1.0,68.23,-,-,none
2012,MT,162.3,113.1,212,117.7,90.91,305.6,10,7,0.7,Incomplete,0.0,-,-,-,none
2012,ST,150.8,97.13,206.1,98.42,77.93,253.8,10,7,0.7,Incomplete,0.0,-,-,-,none
2013,CT,180.7,130.7,228.2,106.2,82.65,290.2,7,5,0.7142857142857143,Incomplete,0.0,-,-,-,none
2013,MT,175.4,131.3,227.2,146.6,114.3,394.6,7,4,0.5714285714285714,Incomplete,0.0,-,-,-,none
2013,ST,153.1,111.3,195.2,105.8,81.05,281.3,7,6,0.8571428571428571,Incomplete,0.0,-,-,-,none
2014,CT,140.5,107.2,174.6,81.72,58.18,242,5,4,0.8,Incomplete,0.0,-,-,-,none
2014,MT,83.2,46.73,121.2,50.53,33.22,207.8,5,3,0.6,Incomplete,0.0,-,-,-,none
2014,ST,87.85,52.37,125.1,52.3,37.71,163.6,5,4,0.8,Incomplete,0.0,-,-,-,none
2015,CT,155.7,117.1,195.1,141.5,107.6,366.4,6,6,1.0,Complete,2.0,132.4,103,161.8,descriptive replicate minimum-to-maximum range
2015,MT,96.72,64.18,131.3,48.35,35.87,135.7,6,6,1.0,Complete,2.0,65.6,44.15,87.05,descriptive replicate minimum-to-maximum range
2015,ST,91.29,59.24,124.7,55.09,39.24,158.2,6,6,1.0,Complete,2.0,57.59,42.71,72.48,descriptive replicate minimum-to-maximum range
2016,CT,61.09,40.64,82.62,80.71,41.32,340.6,2,2,1.0,Complete,2.0,76.61,63.9,89.32,descriptive replicate minimum-to-maximum range
2016,MT,28.99,9.723,49.75,8.221,4.251,35.75,2,2,1.0,Complete,2.0,10.32,7.762,12.88,descriptive replicate minimum-to-maximum range
2016,ST,37.58,17.44,57.3,22.73,11.42,98.63,2,2,1.0,Complete,2.0,39.1,27.13,51.07,descriptive replicate minimum-to-maximum range
2017,CT,209.5,159.9,254.9,227.1,171.2,631.6,6,6,1.0,Complete,2.0,297.5,198.1,396.9,descriptive replicate minimum-to-maximum range
2017,MT,123.4,89.16,157.1,68.55,49.03,217.6,6,6,1.0,Complete,2.0,96.21,94.28,98.15,descriptive replicate minimum-to-maximum range
2017,ST,113.6,80.55,148.1,59.88,44.94,181.5,6,6,1.0,Complete,2.0,77.35,32.86,121.8,descriptive replicate minimum-to-maximum range
2018,CT,156.7,83.7,244.6,71.36,52.2,195.4,5,0,0.0,Incomplete,0.0,-,-,-,none
2018,MT,138.1,69.73,221.8,52.21,39.09,151.6,5,0,0.0,Incomplete,0.0,-,-,-,none
2018,ST,137.7,69.53,220.3,54.48,38.98,150.6,5,0,0.0,Incomplete,0.0,-,-,-,none
2019,CT,30.34,12.37,47.81,17.19,6.216,133.9,1,0,0.0,Incomplete,0.0,-,-,-,none
2019,MT,30.39,12.26,48.8,12.94,4.535,47.47,1,0,0.0,Incomplete,0.0,-,-,-,none
2019,ST,30.5,11.82,48.76,11.9,3.95,83.83,1,0,0.0,Incomplete,0.0,-,-,-,none
2020,CT,185.1,126.8,241.4,119.2,92.57,308.4,7,1,0.14285714285714285,Incomplete,0.0,-,-,-,none
2020,MT,117.2,70.14,164.3,81.47,64.23,198.9,7,0,0.0,Incomplete,0.0,-,-,-,none
2020,ST,123.1,83.69,164.5,100,77.08,266.1,7,6,0.8571428571428571,Incomplete,0.0,-,-,-,none
2021,CT,167,119.9,214.7,89.85,69.36,229.6,6,3,0.5,Incomplete,0.0,-,-,-,none
2021,MT,105.3,61.83,156.5,53.89,41.32,144.9,6,3,0.5,Incomplete,0.0,-,-,-,none
2021,ST,217.4,166.5,265.1,44.58,32.83,120.4,6,5,0.8333333333333334,Incomplete,0.0,-,-,-,none
2022,CT,235.2,172,297.9,117.5,95.14,276.5,8,0,0.0,Incomplete,0.0,-,-,-,none
2022,MT,348.6,293,406.2,106,86.52,255,8,0,0.0,Incomplete,0.0,-,-,-,none
2022,ST,355.9,295.4,415.5,96.53,79.02,229.8,8,0,0.0,Incomplete,0.0,-,-,-,none
2023,CT,240.4,196.1,286.8,247.7,190.3,691,7,5,0.7142857142857143,Incomplete,0.0,-,-,-,none
2023,MT,343.7,294.7,388,237.5,181.6,661.9,7,5,0.7142857142857143,Incomplete,0.0,-,-,-,none
2023,ST,319,270.4,365.7,200.2,155.9,538.8,7,5,0.7142857142857143,Incomplete,0.0,-,-,-,none
2024,CT,145.4,111.9,179,144.3,104.8,445.9,4,3,0.75,Incomplete,0.0,-,-,-,none
2024,MT,222.1,188.3,254.3,144,96.79,499.3,4,2,0.5,Complete,1.0,189.8,-,-,none
2024,ST,213.2,184,241.5,170.2,130.7,487.5,4,3,0.75,Complete,1.0,207.7,-,-,none
2025,CT,272.8,223.1,319.7,331.3,291.5,738.3,8,7,0.875,Incomplete,0.0,-,-,-,none
2025,MT,354.5,309.4,400.6,399.8,331.2,909.8,8,7,0.875,Complete,1.0,395.8,-,-,none
2025,ST,365,324.7,407.4,404.8,355,890.1,8,7,0.875,Complete,1.0,380.1,-,-,none
