Scenario,Analyte,Treatment,n_annual_draws,n_negative_annual_draws,percent_negative_annual_draws,Median_95_display_interval_kg,raw_lower_95_kg
annual_draw_truncation_at_zero,NH4,CT,22500,0,0.0,"0.2824 (0.1513, 0.5123)",0.15133006614926395
annual_draw_truncation_at_zero,NH4,MT,22500,0,0.0,"0.2664 (0.1231, 0.5125)",0.12306479882620498
annual_draw_truncation_at_zero,NH4,ST,22500,0,0.0,"0.276 (0.1262, 0.5223)",0.12617852161476745
annual_draw_truncation_at_zero,NO2,CT,22500,0,0.0,"0.917 (0.4296, 2)",0.4296294073334203
annual_draw_truncation_at_zero,NO2,MT,22500,0,0.0,"0.7529 (0.3753, 1.555)",0.3752616251034698
annual_draw_truncation_at_zero,NO2,ST,22500,0,0.0,"0.7743 (0.3928, 1.602)",0.392817076412435
annual_draw_truncation_at_zero,NO3,CT,22500,0,0.0,"17.6 (14.9, 20.65)",14.895190823480254
annual_draw_truncation_at_zero,NO3,MT,22500,0,0.0,"16.8 (14.22, 19.67)",14.221630257361724
annual_draw_truncation_at_zero,NO3,ST,22500,0,0.0,"17.08 (14.5, 19.91)",14.504321306209953
annual_draw_truncation_at_zero,OP,CT,22500,0,0.0,"0.3881 (0.2533, 0.5488)",0.2532829474104595
annual_draw_truncation_at_zero,OP,MT,22500,0,0.0,"0.4342 (0.3012, 0.5927)",0.30121238083786284
annual_draw_truncation_at_zero,OP,ST,22500,0,0.0,"0.4451 (0.2994, 0.6111)",0.2993840003117928
annual_draw_truncation_at_zero,Se,CT,22500,0,0.0,"0.01638 (0.01318, 0.02023)",0.013177786729100452
annual_draw_truncation_at_zero,Se,MT,22500,0,0.0,"0.0145 (0.01131, 0.01783)",0.011308993248773816
annual_draw_truncation_at_zero,Se,ST,22500,0,0.0,"0.01509 (0.01191, 0.01814)",0.011913268959588792
annual_draw_truncation_at_zero,TDS,CT,22500,0,0.0,"2124 (1525, 2809)",1524.815717946002
annual_draw_truncation_at_zero,TDS,MT,22500,0,0.0,"2165 (1571, 2769)",1571.013965045646
annual_draw_truncation_at_zero,TDS,ST,22500,0,0.0,"2215 (1613, 2830)",1612.7121763762132
annual_draw_truncation_at_zero,TKN,CT,22500,0,0.0,"8.463 (6.047, 11.63)",6.046584632001085
annual_draw_truncation_at_zero,TKN,MT,22500,0,0.0,"7.903 (5.661, 10.88)",5.66140941379687
annual_draw_truncation_at_zero,TKN,ST,22500,0,0.0,"8.372 (5.98, 11.47)",5.980421735790434
annual_draw_truncation_at_zero,TN,CT,22500,0,0.0,"14.59 (8.329, 23.63)",8.32882957114397
annual_draw_truncation_at_zero,TN,MT,22500,0,0.0,"13.7 (6.761, 22.65)",6.76111159234586
annual_draw_truncation_at_zero,TN,ST,22500,0,0.0,"14.03 (7.013, 23.3)",7.0132274306440125
annual_draw_truncation_at_zero,TP,CT,22500,0,0.0,"1.488 (0.3695, 3.353)",0.36949570621716665
annual_draw_truncation_at_zero,TP,MT,22500,0,0.0,"1.955 (0.7715, 3.922)",0.7714781125481537
annual_draw_truncation_at_zero,TP,ST,22500,0,0.0,"1.812 (0.5279, 3.813)",0.5279372517303742
annual_draw_truncation_at_zero,TSS,CT,22500,0,0.0,"1948 (821.6, 4007)",821.5847537270154
annual_draw_truncation_at_zero,TSS,MT,22500,0,0.0,"1763 (777.9, 3587)",777.9162875948165
annual_draw_truncation_at_zero,TSS,ST,22500,0,0.0,"1757 (674.8, 3686)",674.8381086221593
raw_annual_draws_display_floor_only,NH4,CT,22500,0,0.0,"0.2824 (0.1513, 0.5123)",0.15133006614926395
raw_annual_draws_display_floor_only,NH4,MT,22500,0,0.0,"0.2664 (0.1231, 0.5125)",0.12306479882620498
raw_annual_draws_display_floor_only,NH4,ST,22500,0,0.0,"0.276 (0.1262, 0.5223)",0.12617852161476745
raw_annual_draws_display_floor_only,NO2,CT,22500,0,0.0,"0.917 (0.4296, 2)",0.4296294073334203
raw_annual_draws_display_floor_only,NO2,MT,22500,0,0.0,"0.7529 (0.3753, 1.555)",0.3752616251034698
raw_annual_draws_display_floor_only,NO2,ST,22500,0,0.0,"0.7743 (0.3928, 1.602)",0.392817076412435
raw_annual_draws_display_floor_only,NO3,CT,22500,0,0.0,"17.6 (14.9, 20.65)",14.895190823480254
raw_annual_draws_display_floor_only,NO3,MT,22500,0,0.0,"16.8 (14.22, 19.67)",14.221630257361724
raw_annual_draws_display_floor_only,NO3,ST,22500,0,0.0,"17.08 (14.5, 19.91)",14.504321306209953
raw_annual_draws_display_floor_only,OP,CT,22500,0,0.0,"0.3881 (0.2533, 0.5488)",0.2532829474104595
raw_annual_draws_display_floor_only,OP,MT,22500,0,0.0,"0.4342 (0.3012, 0.5927)",0.30121238083786284
raw_annual_draws_display_floor_only,OP,ST,22500,0,0.0,"0.4451 (0.2994, 0.6111)",0.2993840003117928
raw_annual_draws_display_floor_only,Se,CT,22500,0,0.0,"0.01638 (0.01318, 0.02023)",0.013177786729100452
raw_annual_draws_display_floor_only,Se,MT,22500,0,0.0,"0.0145 (0.01131, 0.01783)",0.011308993248773816
raw_annual_draws_display_floor_only,Se,ST,22500,0,0.0,"0.01509 (0.01191, 0.01814)",0.011913268959588792
raw_annual_draws_display_floor_only,TDS,CT,22500,0,0.0,"2124 (1525, 2809)",1524.815717946002
raw_annual_draws_display_floor_only,TDS,MT,22500,0,0.0,"2165 (1571, 2769)",1571.013965045646
raw_annual_draws_display_floor_only,TDS,ST,22500,0,0.0,"2215 (1613, 2830)",1612.7121763762132
raw_annual_draws_display_floor_only,TKN,CT,22500,0,0.0,"8.463 (6.047, 11.63)",6.046584632001085
raw_annual_draws_display_floor_only,TKN,MT,22500,0,0.0,"7.903 (5.661, 10.88)",5.66140941379687
raw_annual_draws_display_floor_only,TKN,ST,22500,0,0.0,"8.372 (5.98, 11.47)",5.980421735790434
raw_annual_draws_display_floor_only,TN,CT,22500,0,0.0,"14.59 (8.329, 23.63)",8.32882957114397
raw_annual_draws_display_floor_only,TN,MT,22500,0,0.0,"13.7 (6.761, 22.65)",6.76111159234586
raw_annual_draws_display_floor_only,TN,ST,22500,0,0.0,"14.03 (7.013, 23.3)",7.0132274306440125
