Analyte,CT,MT,ST
NH4,0.65* (15),0.78* (15),0.66* (15)
NO3,0.68* (15),0.86* (15),0.62* (15)
NO2,0.66* (15),0.81* (15),0.67* (15)
OP,0.61* (15),0.76* (15),0.74* (15)
Se,0.50 (15),0.69* (15),0.51 (15)
TDS,0.76* (15),0.86* (15),0.67* (15)
TKN,0.76* (15),0.65* (15),0.67* (15)
TN,0.91* (15),0.87* (15),0.84* (15)
TP,0.43 (15),0.78* (15),0.69* (15)
TSS,0.39 (15),0.73* (15),0.69* (15)
