Method,Scenario,Analyte,Treatment,PointCumulativeLoad_kg,primary_center_type,primary_center_within_draw_interval,Central_95_interval_kg
Bayes,model_only,TN,CT,,posterior_median,True,"16.11 (8.858, 25.19)"
Bayes,model_only,TN,MT,,posterior_median,True,"13.85 (7.02, 22.5)"
Bayes,model_only,TN,ST,,posterior_median,True,"13.61 (6.713, 22.11)"
Bayes,model_only,TP,CT,,posterior_median,True,"1.677 (0.4822, 3.929)"
Bayes,model_only,TP,MT,,posterior_median,True,"1.932 (0.7854, 3.873)"
Bayes,model_only,TP,ST,,posterior_median,True,"1.668 (0.4852, 3.69)"
Bayes,model_only,TSS,CT,,posterior_median,True,"2277 (956.1, 4581)"
Bayes,model_only,TSS,MT,,posterior_median,True,"1844 (802.7, 3690)"
Bayes,model_only,TSS,ST,,posterior_median,True,"1686 (593.6, 3529)"
ML,full_record_model_only,TN,CT,6.55867261237947,mean_of_replicate_annual_plot_totals,False,"6.559 (7.415, 13.05)"
ML,full_record_model_only,TN,MT,3.8720804470330235,mean_of_replicate_annual_plot_totals,False,"3.872 (4.384, 7.413)"
ML,full_record_model_only,TN,ST,3.6951923371325024,mean_of_replicate_annual_plot_totals,False,"3.695 (4.244, 7.082)"
ML,full_record_model_only,TP,CT,1.6495292236775811,mean_of_replicate_annual_plot_totals,False,"1.65 (1.918, 3.632)"
ML,full_record_model_only,TP,MT,1.7286986134087703,mean_of_replicate_annual_plot_totals,False,"1.729 (1.775, 4.613)"
ML,full_record_model_only,TP,ST,1.6009499326973473,mean_of_replicate_annual_plot_totals,False,"1.601 (1.731, 3.671)"
ML,full_record_model_only,TSS,CT,2278.71521993198,mean_of_replicate_annual_plot_totals,False,"2279 (2469, 4575)"
ML,full_record_model_only,TSS,MT,1472.911302637718,mean_of_replicate_annual_plot_totals,True,"1473 (1447, 3515)"
ML,full_record_model_only,TSS,ST,1471.1740842815316,mean_of_replicate_annual_plot_totals,False,"1471 (1521, 3098)"
