Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE,NRMSE,Coverage
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.0857,0.788,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.176,0.633,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.903,0.129,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.0933,0.770,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.034,5.135,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,91.3,0.103,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.5,0.590,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.15,0.203,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.637,0.739,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,547,0.560,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,CT,14,0.135,1.166,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,MT,14,0.0383,0.430,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NH4,ST,14,0.0473,0.391,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,CT,42,0.127,0.448,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,MT,43,0.116,0.415,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO2,ST,44,0.25,0.920,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,CT,121,0.661,0.095,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,MT,116,1.12,0.156,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,NO3,ST,119,0.884,0.127,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,CT,111,0.0775,0.682,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,MT,112,0.113,0.800,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,OP,ST,112,0.0859,0.790,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,CT,33,0.0407,5.547,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,MT,34,0.0393,6.308,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,Se,ST,34,0.0166,2.633,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,CT,32,142,0.162,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,MT,32,45.8,0.052,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TDS,ST,33,52.9,0.060,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,CT,105,1.49,0.503,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,MT,102,1.04,0.500,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,ST,106,1.83,0.720,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,CT,36,1.09,0.188,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,MT,34,1.2,0.216,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,ST,34,1.16,0.205,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,CT,121,0.502,0.535,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,MT,120,0.901,0.977,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,ST,120,0.392,0.543,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,CT,132,668,0.491,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,MT,134,553,0.688,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,ST,134,386,0.501,NA
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,1.11e+04,0.416,NA
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,CT,111,1.27e+04,0.437,NA
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,MT,101,1.17e+04,0.426,NA
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,ST,121,8.97e+03,0.371,NA
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NH4,all,42,0.303,2.788,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO2,all,129,0.336,1.211,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO3,all,356,3.69,0.526,96.6%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,OP,all,335,0.463,3.826,94.9%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,Se,all,101,0.0958,14.476,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TDS,all,97,540,0.610,67.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TKN,all,313,5.14,2.027,77.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TN,all,104,2.74,0.482,87.5%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TP,all,361,1.35,1.567,88.1%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TSS,all,400,1.1e+03,1.123,55.2%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,CT,14,0.29,2.501,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,MT,14,0.342,3.840,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,ST,14,0.272,2.252,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,CT,42,0.34,1.199,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,MT,43,0.335,1.198,100.0%
