Method,Scenario,Analyte,Treatment,PointCumulativeLoad_kg
ML,full_record_model_only,NH4,CT,1.3485174504286965
ML,full_record_model_only,NH4,MT,1.2625537781876388
ML,full_record_model_only,NH4,ST,1.1646660083632048
ML,full_record_model_only,NO2,CT,0.6940542355854777
ML,full_record_model_only,NO2,MT,0.6364057827975704
ML,full_record_model_only,NO2,ST,0.5703203330211679
ML,full_record_model_only,NO3,CT,11.123033574260216
ML,full_record_model_only,NO3,MT,8.540778638478123
ML,full_record_model_only,NO3,ST,8.385523647278326
ML,full_record_model_only,OP,CT,0.2949533417520064
ML,full_record_model_only,OP,MT,0.30814295631210603
ML,full_record_model_only,OP,ST,0.3009430117325547
ML,full_record_model_only,Se,CT,0.6685661398186324
ML,full_record_model_only,Se,MT,0.6324608247681935
ML,full_record_model_only,Se,ST,0.5753197602890457
ML,full_record_model_only,TDS,CT,546.4260608333648
ML,full_record_model_only,TDS,MT,603.4973531918765
ML,full_record_model_only,TDS,ST,632.2091270712751
ML,full_record_model_only,TKN,CT,5.390347508083271
ML,full_record_model_only,TKN,MT,4.397563317022035
ML,full_record_model_only,TKN,ST,3.9519921498878205
ML,full_record_model_only,TN,CT,6.55867261237947
ML,full_record_model_only,TN,MT,3.8720804470330235
ML,full_record_model_only,TN,ST,3.6951923371325024
ML,full_record_model_only,TP,CT,1.6495292236775811
ML,full_record_model_only,TP,MT,1.7286986134087703
ML,full_record_model_only,TP,ST,1.6009499326973473
ML,full_record_model_only,TSS,CT,2278.71521993198
ML,full_record_model_only,TSS,MT,1472.911302637718
ML,full_record_model_only,TSS,ST,1471.1740842815316
