DisplayTarget,Evaluation,n,RMSE,RMSE_units,NRMSE_percent,Coverage
NH4,full_record_physical_event_reconstruction,42,0.08568,mg/L,78.8%,NA
NH4,outer_loyo_physical_event_validation,42,0.303,mg/L,278.8%,100.0%
NO3,full_record_physical_event_reconstruction,356,0.9028,mg/L,12.9%,NA
NO3,outer_loyo_physical_event_validation,356,3.693,mg/L,52.6%,96.6%
NO2,full_record_physical_event_reconstruction,129,0.176,mg/L,63.3%,NA
NO2,outer_loyo_physical_event_validation,129,0.3364,mg/L,121.1%,100.0%
OP,full_record_physical_event_reconstruction,335,0.09331,mg/L,77.0%,NA
OP,outer_loyo_physical_event_validation,335,0.4634,mg/L,382.6%,94.9%
Se,full_record_physical_event_reconstruction,101,0.03399,mg/L,513.5%,NA
Se,outer_loyo_physical_event_validation,101,0.09582,mg/L,1447.6%,100.0%
TDS,full_record_physical_event_reconstruction,97,91.3,mg/L,10.3%,NA
TDS,outer_loyo_physical_event_validation,97,539.5,mg/L,61.0%,67.0%
TKN,full_record_physical_event_reconstruction,313,1.496,mg/L,59.0%,NA
TKN,outer_loyo_physical_event_validation,313,5.143,mg/L,202.7%,77.0%
TN,full_record_physical_event_reconstruction,104,1.151,mg/L,20.3%,NA
TN,outer_loyo_physical_event_validation,104,2.737,mg/L,48.2%,87.5%
TP,full_record_physical_event_reconstruction,361,0.6369,mg/L,73.9%,NA
TP,outer_loyo_physical_event_validation,361,1.35,mg/L,156.7%,88.1%
TSS,full_record_physical_event_reconstruction,400,547.2,mg/L,56.0%,NA
TSS,outer_loyo_physical_event_validation,400,1097,mg/L,112.3%,55.2%
Volume,full_record_physical_event_reconstruction,333,1.115e+04,L,41.6%,NA
Volume,outer_loyo_physical_event_validation,333,2.569e+04,L,96.0%,86.2%
