Method,Scenario,Year,Analyte,Treatment,PointTotal_kg,primary_center_type,primary_center_within_draw_interval,Central_95_interval_kg
Bayes,model_only,2011,TN,CT,,posterior_median,True,"0.8661 (0.38, 1.505)"
Bayes,model_only,2011,TN,MT,,posterior_median,True,"0.8092 (0.3542, 1.434)"
Bayes,model_only,2011,TN,ST,,posterior_median,True,"0.7532 (0.3155, 1.344)"
Bayes,model_only,2011,TP,CT,,posterior_median,True,"0.1635 (0.01197, 0.4485)"
Bayes,model_only,2011,TP,MT,,posterior_median,True,"0.1625 (0.009793, 0.427)"
Bayes,model_only,2011,TP,ST,,posterior_median,True,"0.1419 (0.005687, 0.3933)"
Bayes,model_only,2011,TSS,CT,,posterior_median,True,"127.5 (7.655, 339.1)"
Bayes,model_only,2011,TSS,MT,,posterior_median,True,"83.2 (1.34, 277.7)"
Bayes,model_only,2011,TSS,ST,,posterior_median,True,"63.87 (0, 245.7)"
Bayes,model_only,2012,TN,CT,,posterior_median,True,"0.5784 (0.1331, 1.401)"
Bayes,model_only,2012,TN,MT,,posterior_median,True,"0.5661 (0.2055, 1.321)"
Bayes,model_only,2012,TN,ST,,posterior_median,True,"0.4294 (0.107, 1.142)"
Bayes,model_only,2012,TP,CT,,posterior_median,True,"0.2065 (0.01198, 0.583)"
Bayes,model_only,2012,TP,MT,,posterior_median,True,"0.1974 (0.01053, 0.5183)"
Bayes,model_only,2012,TP,ST,,posterior_median,True,"0.1592 (0.007431, 0.4433)"
Bayes,model_only,2012,TSS,CT,,posterior_median,True,"231.7 (31.25, 551.8)"
Bayes,model_only,2012,TSS,MT,,posterior_median,True,"129.1 (4.442, 351.6)"
Bayes,model_only,2012,TSS,ST,,posterior_median,True,"96.52 (1.138, 302.7)"
Bayes,model_only,2013,TN,CT,,posterior_median,True,"0.7199 (0, 2.37)"
Bayes,model_only,2013,TN,MT,,posterior_median,True,"0.7009 (0, 2.383)"
Bayes,model_only,2013,TN,ST,,posterior_median,True,"0.6097 (0, 2.049)"
Bayes,model_only,2013,TP,CT,,posterior_median,True,"0.07996 (0, 0.3055)"
Bayes,model_only,2013,TP,MT,,posterior_median,True,"0.07327 (0, 0.3208)"
Bayes,model_only,2013,TP,ST,,posterior_median,True,"0.05547 (0, 0.2617)"
Bayes,model_only,2013,TSS,CT,,posterior_median,True,"160 (15.88, 413.1)"
Bayes,model_only,2013,TSS,MT,,posterior_median,True,"112.1 (4.86, 343.2)"
Bayes,model_only,2013,TSS,ST,,posterior_median,True,"83.54 (0, 278.3)"
Bayes,model_only,2014,TN,CT,,posterior_median,True,"1.019 (0.5856, 1.534)"
Bayes,model_only,2014,TN,MT,,posterior_median,True,"0.5459 (0.2276, 0.9796)"
Bayes,model_only,2014,TN,ST,,posterior_median,True,"0.5829 (0.2776, 1.003)"
Bayes,model_only,2014,TP,CT,,posterior_median,True,"0.05771 (0.002977, 0.232)"
Bayes,model_only,2014,TP,MT,,posterior_median,True,"0.03151 (0, 0.1534)"
Bayes,model_only,2014,TP,ST,,posterior_median,True,"0.02974 (0, 0.1478)"
Bayes,model_only,2014,TSS,CT,,posterior_median,True,"61.68 (5.746, 227.1)"
Bayes,model_only,2014,TSS,MT,,posterior_median,True,"15.91 (0, 108.7)"
Bayes,model_only,2014,TSS,ST,,posterior_median,True,"13.59 (0, 95.69)"
Bayes,model_only,2015,TN,CT,,posterior_median,True,"1.459 (0.9431, 2.136)"
Bayes,model_only,2015,TN,MT,,posterior_median,True,"1.056 (0.6074, 1.582)"
Bayes,model_only,2015,TN,ST,,posterior_median,True,"1.064 (0.5917, 1.617)"
Bayes,model_only,2015,TP,CT,,posterior_median,True,"0.03235 (0, 0.2087)"
Bayes,model_only,2015,TP,MT,,posterior_median,True,"0.01137 (0, 0.1174)"
Bayes,model_only,2015,TP,ST,,posterior_median,True,"0.01012 (0, 0.108)"
Bayes,model_only,2015,TSS,CT,,posterior_median,True,"41.56 (0, 206.1)"
Bayes,model_only,2015,TSS,MT,,posterior_median,True,"3.646 (0, 74.99)"
Bayes,model_only,2015,TSS,ST,,posterior_median,True,"3.747 (0, 68.57)"
Bayes,model_only,2016,TN,CT,,posterior_median,True,"0.2547 (0.08616, 0.4717)"
Bayes,model_only,2016,TN,MT,,posterior_median,True,"0.1234 (0.02573, 0.2658)"
Bayes,model_only,2016,TN,ST,,posterior_median,True,"0.1574 (0.04192, 0.3242)"
Bayes,model_only,2016,TP,CT,,posterior_median,True,"0 (0, 0.03337)"
Bayes,model_only,2016,TP,MT,,posterior_median,True,"0 (0, 0.01542)"
Bayes,model_only,2016,TP,ST,,posterior_median,True,"0 (0, 0.02218)"
Bayes,model_only,2016,TSS,CT,,posterior_median,True,"8.773 (0, 80.66)"
Bayes,model_only,2016,TSS,MT,,posterior_median,True,"0 (0, 23.73)"
Bayes,model_only,2016,TSS,ST,,posterior_median,True,"0.03722 (0, 33.07)"
Bayes,model_only,2017,TN,CT,,posterior_median,True,"1.172 (0, 3.55)"
Bayes,model_only,2017,TN,MT,,posterior_median,True,"0.6966 (0, 2.194)"
Bayes,model_only,2017,TN,ST,,posterior_median,True,"0.6284 (0, 2.116)"
Bayes,model_only,2017,TP,CT,,posterior_median,True,"0.05285 (0, 0.2663)"
Bayes,model_only,2017,TP,MT,,posterior_median,True,"0.002065 (0, 0.07115)"
Bayes,model_only,2017,TP,ST,,posterior_median,True,"0.0006114 (0, 0.06178)"
Bayes,model_only,2017,TSS,CT,,posterior_median,True,"254.9 (91.05, 584.8)"
