Scenario,Analyte,Treatment,Draw,CumulativeLoad_kg,Method
annual_draw_truncation_at_zero,NH4,CT,3,0.2893813521489176,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,4,0.2994476857193993,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,5,0.30182500203686113,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,6,0.4575075043082673,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,19,0.3862709555149712,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,30,0.23214107653195393,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,32,0.35934149759148765,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,34,0.2834115341922503,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,35,0.38931816251522144,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,37,0.3042471436502348,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,46,0.31827006517883466,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,49,0.35649311791898713,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,51,0.3928283106710464,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,52,0.3273946502296664,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,54,0.3521167485234522,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,55,0.2777430840249803,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,58,0.2830763249488043,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,59,0.2695399079156733,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,60,0.35586682569202405,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,64,0.2828030280169551,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,68,0.5280253284811207,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,69,0.4000456835785825,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,73,0.34294738676251535,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,74,0.21560733525526557,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,75,0.38189589459592366,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,78,0.31233141706689377,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,82,0.27797755671277663,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,88,0.29398431718531254,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,93,0.3084499716540027,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,96,0.2708020034933549,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,99,0.2703292341240077,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,101,0.4073261100853754,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,103,0.33776075474563044,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,106,0.312759388267533,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,110,0.25533654785493487,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,111,0.515843575620644,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,112,0.18310351408300157,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,113,0.3558699270894151,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,114,0.19434966039985152,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,120,0.348503382675776,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,121,0.45506544670605154,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,123,0.32775631798566984,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,126,0.24183494479785456,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,129,0.39939468642780324,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,131,0.32476372614859483,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,132,0.2566446408097752,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,133,0.2945119601601792,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,136,0.1822087061157041,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,140,0.2592442376307135,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,142,0.29519059122886665,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,144,0.24186063856434004,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,146,0.39524991520104824,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,156,0.2670511046461515,BayesSensitivity
annual_draw_truncation_at_zero,NH4,CT,163,0.21096967755683863,BayesSensitivity
