Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,DisplayTarget
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NH4,all,82,0.0179724221941404,0.17451019774061724,1.0,NH4
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.08568288550565083,0.7883200857036877,,NH4
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO3,all,831,0.9686207319906145,0.1523408253536157,0.9518652226233454,NO3
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.9028056795399776,0.12857858411265832,,NO3
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,NO2,all,440,0.16633882688468646,0.556122698275626,0.9840909090909091,NO2
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.1759656820511013,0.6332614410342181,,NO2
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,OP,all,811,0.14608634262165132,1.0008196036979466,0.9161528976572133,OP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.09331302365849148,0.7703078515954425,,OP
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,Se,all,215,0.0008447531999548623,0.12896720679857374,0.9395348837209302,Se
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.033990010179998746,5.135057032009862,,Se
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TDS,all,368,96.76870599268744,0.10443258182052757,0.9836956521739131,TDS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,91.29708048784077,0.1031635472792679,,TDS
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TKN,all,739,1.9192156365920017,0.9117197097009377,0.9607577807848444,TKN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.4962826133163565,0.5898321482840968,,TKN
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TN,all,172,2.1645062904594763,0.33808156560170316,0.9825581395348837,TN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.1510214004377952,0.20276457859180078,,TN
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TP,all,815,2.1842884905826345,1.8919728774229978,0.9300613496932515,TP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.6368673138277172,0.7393431403371641,,TP
Bayes,posterior_predictive_fit,Result_mg_L,analyte_overall,TSS,all,894,2046.062321239795,1.56276054448096,0.889261744966443,TSS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,547.2401177377591,0.5604305826281227,,TSS
Bayes,posterior_predictive_fit,Volume_L,overall,all,all,372,14864.164204297807,0.5153544674724844,0.9005376344086021,Volume
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,11149.723807298882,0.41647263679156166,,Volume
