Year,Treatment,BayesPosteriorMean_kL,BayesLower95_kL,BayesUpper95_kL,MLPointTotal_kL,MLLower95_kL,MLUpper95_kL,n_expected_physical_events,n_observed_event_volumes,observed_event_fraction,ObservedAnnualVolumeComplete,n_complete_plots,ObservedAnnualVolume_kL,ObservedAnnualVolumeRangeLow_kL,ObservedAnnualVolumeRangeHigh_kL,ObservedIntervalType
2011,CT,151.5,104.7,193.4,100.2,73.23,286.4,6,4,0.6666666666666666,Complete,1.0,95.66,-,-,none
2011,MT,147.2,101.6,194.7,113.3,82.57,345.8,6,3,0.5,Incomplete,0.0,-,-,-,none
2011,ST,141,102.1,180.9,124.7,91.76,356.2,6,5,0.8333333333333334,Complete,1.0,145.4,-,-,none
2012,CT,225.5,135.1,316.3,97.49,77.89,243.9,10,10,1.0,Complete,1.0,68.23,-,-,none
2012,MT,206.1,141.9,266.8,130,98.44,341.4,10,7,0.7,Incomplete,0.0,-,-,-,none
2012,ST,189.6,123.2,251.8,109.1,86.22,288.2,10,7,0.7,Incomplete,0.0,-,-,-,none
2013,CT,190.4,138.4,240.2,105.8,81.64,293,7,5,0.7142857142857143,Incomplete,0.0,-,-,-,none
2013,MT,191.2,142.2,244.2,141.7,108.4,373.4,7,4,0.5714285714285714,Incomplete,0.0,-,-,-,none
2013,ST,169.8,121.7,214.4,107.3,81.42,279.2,7,6,0.8571428571428571,Incomplete,0.0,-,-,-,none
2014,CT,151.7,116.7,190.3,82.36,58.36,245.1,5,4,0.8,Incomplete,0.0,-,-,-,none
2014,MT,102.7,61.36,146.3,50.54,32.25,214.3,5,3,0.6,Incomplete,0.0,-,-,-,none
2014,ST,105.9,68.37,146.7,53.33,37.49,174.9,5,4,0.8,Incomplete,0.0,-,-,-,none
2015,CT,165.6,121.3,213.7,145.9,111.5,387.5,6,6,1.0,Complete,2.0,132.4,103,161.8,descriptive replicate minimum-to-maximum range
2015,MT,124,78.48,167.3,53.05,39.92,146.4,6,6,1.0,Complete,2.0,65.6,44.15,87.05,descriptive replicate minimum-to-maximum range
2015,ST,122.9,75.16,165.3,61.73,43.47,172.6,6,6,1.0,Complete,2.0,57.59,42.71,72.48,descriptive replicate minimum-to-maximum range
2016,CT,53.4,28.64,80.04,82.47,42.1,351.5,2,2,1.0,Complete,2.0,76.61,63.9,89.32,descriptive replicate minimum-to-maximum range
2016,MT,29.7,8.662,50.1,8.913,4.665,38.52,2,2,1.0,Complete,2.0,10.32,7.762,12.88,descriptive replicate minimum-to-maximum range
2016,ST,36.87,15.55,60.46,24.49,12.24,105.4,2,2,1.0,Complete,2.0,39.1,27.13,51.07,descriptive replicate minimum-to-maximum range
2017,CT,219.6,165.1,275.3,247,184.2,718.8,6,6,1.0,Complete,2.0,297.5,198.1,396.9,descriptive replicate minimum-to-maximum range
2017,MT,146.2,106,184.2,77.32,55.09,228.6,6,6,1.0,Complete,2.0,96.21,94.28,98.15,descriptive replicate minimum-to-maximum range
2017,ST,138,92.2,181.4,64.82,47.69,202,6,6,1.0,Complete,2.0,77.35,32.86,121.8,descriptive replicate minimum-to-maximum range
2018,CT,197.9,98.21,327.9,74.69,53.7,205.3,5,0,0.0,Incomplete,0.0,-,-,-,none
2018,MT,187.9,93.17,312,62.27,46.34,172.5,5,0,0.0,Incomplete,0.0,-,-,-,none
2018,ST,188,91.48,316.6,66.2,47.59,175,5,0,0.0,Incomplete,0.0,-,-,-,none
2019,CT,46.61,26.91,65.83,20.41,7.207,158.4,1,0,0.0,Incomplete,0.0,-,-,-,none
2019,MT,46.92,26.38,66.79,14.65,5.048,62.62,1,0,0.0,Incomplete,0.0,-,-,-,none
2019,ST,46.95,27.72,65.74,14.36,5.056,99.97,1,0,0.0,Incomplete,0.0,-,-,-,none
2020,CT,199.3,137.2,268.9,124.3,95.58,325.6,7,1,0.14285714285714285,Incomplete,0.0,-,-,-,none
2020,MT,167.4,116.3,209.9,104.3,82.01,255.4,7,0,0.0,Incomplete,0.0,-,-,-,none
2020,ST,166.1,123.1,206.2,120.4,89.51,328.4,7,6,0.8571428571428571,Incomplete,0.0,-,-,-,none
2021,CT,180.2,127.9,231.9,90.05,68.85,233.4,6,3,0.5,Incomplete,0.0,-,-,-,none
2021,MT,150.1,89.48,214,46.74,35.21,128.1,6,3,0.5,Incomplete,0.0,-,-,-,none
2021,ST,151.7,101.9,206.2,46.97,34.22,134.2,6,5,0.8333333333333334,Incomplete,0.0,-,-,-,none
2022,CT,244.2,180.9,310.3,109.3,88.9,256.1,8,0,0.0,Incomplete,0.0,-,-,-,none
2022,MT,211.4,159.6,259,107.5,87.91,263.9,8,0,0.0,Incomplete,0.0,-,-,-,none
2022,ST,217.7,163.8,268.7,94.32,76.13,227.3,8,0,0.0,Incomplete,0.0,-,-,-,none
2023,CT,254.7,207.5,307.1,250.8,191.8,707.7,7,5,0.7142857142857143,Incomplete,0.0,-,-,-,none
2023,MT,255,204.5,312,237.2,181.7,660.6,7,5,0.7142857142857143,Incomplete,0.0,-,-,-,none
2023,ST,235.8,192.2,283.5,219.8,173.5,582.3,7,5,0.7142857142857143,Incomplete,0.0,-,-,-,none
2024,CT,183.2,147.5,217.8,152.9,110.9,441.8,4,3,0.75,Incomplete,0.0,-,-,-,none
2024,MT,197.6,160.8,237.7,164.3,110.6,553.9,4,2,0.5,Complete,1.0,189.8,-,-,none
2024,ST,200.6,169.2,231.5,173.4,133.6,499.2,4,3,0.75,Complete,1.0,207.7,-,-,none
2025,CT,275.2,218.8,334.8,325.8,286.7,725,8,7,0.875,Incomplete,0.0,-,-,-,none
2025,MT,270.1,213.7,339.7,405.7,335.2,914.9,8,7,0.875,Complete,1.0,395.8,-,-,none
2025,ST,276.1,218.8,349.9,399.9,347.7,883.1,8,7,0.875,Complete,1.0,380.1,-,-,none
