Method,Target,Year,n,Coverage
ML,Result_mg_L,2011,108,89.8%
ML,Result_mg_L,2012,163,78.5%
ML,Result_mg_L,2013,72,81.9%
ML,Result_mg_L,2014,224,83.9%
ML,Result_mg_L,2015,372,92.5%
ML,Result_mg_L,2016,168,91.7%
ML,Result_mg_L,2017,324,62.0%
ML,Result_mg_L,2018,0,NA
ML,Result_mg_L,2019,0,NA
ML,Result_mg_L,2020,246,92.3%
ML,Result_mg_L,2021,539,86.3%
ML,Result_mg_L,2022,574,80.7%
ML,Result_mg_L,2023,928,83.2%
ML,Result_mg_L,2024,646,84.5%
ML,Result_mg_L,2025,1003,86.5%
ML,Volume_L,2011,27,48.1%
ML,Volume_L,2012,49,75.5%
ML,Volume_L,2013,32,100.0%
ML,Volume_L,2014,23,87.0%
ML,Volume_L,2015,36,100.0%
ML,Volume_L,2016,12,25.0%
ML,Volume_L,2017,36,97.2%
ML,Volume_L,2018,0,NA
ML,Volume_L,2019,0,NA
ML,Volume_L,2020,9,100.0%
ML,Volume_L,2021,18,77.8%
ML,Volume_L,2022,0,NA
ML,Volume_L,2023,30,100.0%
ML,Volume_L,2024,27,85.2%
ML,Volume_L,2025,73,98.6%
