Analyte,CT,MT,ST
NH4,0.62* (15),0.70* (15),0.54* (15)
NO3,0.54* (15),0.88* (15),0.74* (15)
NO2,0.59* (15),0.81* (15),0.85* (15)
OP,0.57* (15),0.82* (15),0.81* (15)
Se,0.40 (15),0.65* (15),0.55* (15)
TDS,0.56* (15),0.76* (15),0.71* (15)
TKN,0.72* (15),0.71* (15),0.64* (15)
TN,0.45 (15),0.55* (15),0.60* (15)
TP,0.47 (15),0.76* (15),0.75* (15)
TSS,0.47 (15),0.59* (15),0.63* (15)
