Method,Scenario,Analyte,ComparisonTreatment,PointPercentDifference
ML,full_record_model_only,NH4,MT,6.3746800023781445
ML,full_record_model_only,NO2,MT,8.306044374079393
ML,full_record_model_only,NO3,MT,23.215383811819844
ML,full_record_model_only,OP,MT,-4.471763053015123
ML,full_record_model_only,Se,MT,5.400410355845047
ML,full_record_model_only,TDS,MT,-10.444467504253227
ML,full_record_model_only,TKN,MT,18.41781424244863
ML,full_record_model_only,TN,MT,40.9624374339941
ML,full_record_model_only,TP,MT,-4.7995142247121345
ML,full_record_model_only,TSS,MT,35.36220367713677
ML,full_record_model_only,NH4,ST,13.633597548703948
ML,full_record_model_only,NO2,ST,17.827699367028952
ML,full_record_model_only,NO3,ST,24.611181011956617
ML,full_record_model_only,OP,ST,-2.030717789115402
ML,full_record_model_only,Se,ST,13.947218379154293
ML,full_record_model_only,TDS,ST,-15.69893392476211
ML,full_record_model_only,TKN,ST,26.683907782170216
ML,full_record_model_only,TN,ST,43.65944825241253
ML,full_record_model_only,TP,ST,2.9450397290887405
ML,full_record_model_only,TSS,ST,35.438440424098
