Method,Scenario,Analyte,Treatment,mean,median,lower_95,upper_95,n_draws,PointCumulativeLoad_kg,primary_center,primary_center_type,primary_center_within_draw_interval
Bayes,model_only,NH4,CT,0.333784081261082,0.32592608240705656,0.1629578499881081,0.5645794390902692,1500,,0.32592608240705656,posterior_median,True
Bayes,model_only,NH4,MT,0.2974241064321437,0.28757818149143066,0.13061321399596576,0.5155325184317444,1500,,0.28757818149143066,posterior_median,True
Bayes,model_only,NH4,ST,0.2919846423441906,0.28500424779043193,0.13236063742626036,0.5074046241317154,1500,,0.28500424779043193,posterior_median,True
Bayes,model_only,NO2,CT,1.0441974543789372,0.9515380791423058,0.41251536702798847,2.195347436336663,1500,,0.9515380791423058,posterior_median,True
Bayes,model_only,NO2,MT,0.8199460262190499,0.7375972284288286,0.3253317837920675,1.7564063801079912,1500,,0.7375972284288286,posterior_median,True
Bayes,model_only,NO2,ST,0.8000523617227672,0.7248084425370596,0.3127821325622231,1.7211289327779464,1500,,0.7248084425370596,posterior_median,True
Bayes,model_only,NO3,CT,19.750255801676555,19.800743919402407,16.26585392282658,23.380595077359004,1500,,19.800743919402407,posterior_median,True
Bayes,model_only,NO3,MT,17.920954468210397,17.86938491534682,14.800969375469908,21.34086148403351,1500,,17.86938491534682,posterior_median,True
Bayes,model_only,NO3,ST,17.27037963722785,17.248734893015044,14.177703679432112,20.52159922534346,1500,,17.248734893015044,posterior_median,True
Bayes,model_only,OP,CT,0.4501539993170371,0.44566755770244426,0.2978849319650924,0.6229310310252687,1500,,0.44566755770244426,posterior_median,True
Bayes,model_only,OP,MT,0.4527486958442728,0.4492926420132979,0.3182015403247513,0.6105691539685211,1500,,0.4492926420132979,posterior_median,True
Bayes,model_only,OP,ST,0.4355276138261179,0.43023628900902233,0.3028989258260686,0.5910914325489639,1500,,0.43023628900902233,posterior_median,True
Bayes,model_only,Se,CT,0.01813890184400974,0.01802880298599572,0.01411659584018174,0.02250195677097123,1500,,0.01802880298599572,posterior_median,True
Bayes,model_only,Se,MT,0.01457149103209477,0.014474908084426604,0.011126844689104243,0.018407574380015407,1500,,0.014474908084426604,posterior_median,True
Bayes,model_only,Se,ST,0.0143640368803137,0.014295117293832548,0.010881401516996963,0.017918920182135558,1500,,0.014295117293832548,posterior_median,True
Bayes,model_only,TDS,CT,2370.145223905133,2351.5063393261034,1723.3731467884152,3088.5013413454385,1500,,2351.5063393261034,posterior_median,True
Bayes,model_only,TDS,MT,2227.297160621779,2210.3639808723547,1663.8146937609483,2845.3434918707253,1500,,2210.3639808723547,posterior_median,True
