Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE_original_units,NRMSE_mean_observed,IntervalCoverage,DisplayTarget
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NH4,all,42,0.08568288550565083,0.7883200857036877,,NH4
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NH4,all,42,0.30299698271346515,2.78770498882049,1.0,NH4
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO3,all,356,0.9028056795399776,0.12857858411265832,,NO3
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO3,all,356,3.692735424913383,0.5259234663653811,0.9662921348314607,NO3
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,NO2,all,129,0.1759656820511013,0.6332614410342181,,NO2
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO2,all,129,0.33638866516828947,1.2105881576964845,1.0,NO2
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,OP,all,335,0.09331302365849148,0.7703078515954425,,OP
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,OP,all,335,0.46342194638383943,3.825592076059886,0.9492537313432836,OP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,Se,all,101,0.033990010179998746,5.135057032009862,,Se
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,Se,all,101,0.09581844731866916,14.475817720982448,1.0,Se
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TDS,all,97,91.29708048784077,0.1031635472792679,,TDS
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TDS,all,97,539.5498196552547,0.6096785683846545,0.6701030927835051,TDS
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TKN,all,313,1.4962826133163565,0.5898321482840968,,TKN
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TKN,all,313,5.142948067778238,2.0273416801975626,0.7699680511182109,TKN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TN,all,104,1.1510214004377952,0.20276457859180078,,TN
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TN,all,104,2.737164793972532,0.4821804927128699,0.875,TN
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TP,all,361,0.6368673138277172,0.7393431403371641,,TP
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TP,all,361,1.3496018753125651,1.5667610301765993,0.8808864265927978,TP
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_overall,TSS,all,400,547.2401177377591,0.5604305826281227,,TSS
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TSS,all,400,1096.7930895742545,1.1232297674987985,0.5525,TSS
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,11149.723807298882,0.41647263679156166,,Volume
ML,outer_loyo_physical_event_validation,Volume_L,overall,all,all,333,25688.152792192235,0.9595226673386628,0.8618618618618619,Volume
