Method,Scenario,Year,Treatment,center_kL,lower_95_kL,upper_95_kL,central_estimate_type,interval_type
Bayes,model_only,2011,CT,151.52446913860942,104.66186751567172,193.43844931069256,posterior_mean,95% posterior credible interval
Bayes,model_only,2012,CT,225.4798441497865,135.1072778239173,316.3253933147997,posterior_mean,95% posterior credible interval
Bayes,model_only,2013,CT,190.40565819609472,138.4140725455627,240.19427541463287,posterior_mean,95% posterior credible interval
Bayes,model_only,2014,CT,151.68712860457072,116.72329640758753,190.2878388470094,posterior_mean,95% posterior credible interval
Bayes,model_only,2015,CT,165.64997486503728,121.28002433792436,213.66206610343465,posterior_mean,95% posterior credible interval
Bayes,model_only,2016,CT,53.40032051732267,28.63617085318238,80.03777704944022,posterior_mean,95% posterior credible interval
Bayes,model_only,2017,CT,219.60404449589507,165.1413739129547,275.32300465224137,posterior_mean,95% posterior credible interval
Bayes,model_only,2018,CT,197.90350067635453,98.20504506403476,327.88846990020454,posterior_mean,95% posterior credible interval
Bayes,model_only,2019,CT,46.61349728788152,26.913920858126986,65.82665255359093,posterior_mean,95% posterior credible interval
Bayes,model_only,2020,CT,199.28102533104985,137.21066977845848,268.93993480429265,posterior_mean,95% posterior credible interval
Bayes,model_only,2021,CT,180.18101041384185,127.92598881037313,231.88000524149328,posterior_mean,95% posterior credible interval
Bayes,model_only,2022,CT,244.15135711020616,180.85068335469447,310.31750194272183,posterior_mean,95% posterior credible interval
Bayes,model_only,2023,CT,254.6571777332203,207.52480364658703,307.12464253614,posterior_mean,95% posterior credible interval
Bayes,model_only,2024,CT,183.1767893212016,147.47013655011858,217.82125888652365,posterior_mean,95% posterior credible interval
Bayes,model_only,2025,CT,275.2444700319006,218.81470090365653,334.8405469352468,posterior_mean,95% posterior credible interval
Bayes,model_only,2011,MT,147.1767889882323,101.61310720344557,194.6773444409884,posterior_mean,95% posterior credible interval
Bayes,model_only,2012,MT,206.14627024705885,141.85716984314686,266.76122120205616,posterior_mean,95% posterior credible interval
Bayes,model_only,2013,MT,191.2449545321349,142.15803281999035,244.20919470865644,posterior_mean,95% posterior credible interval
Bayes,model_only,2014,MT,102.66684429079584,61.35961802178216,146.2604297541773,posterior_mean,95% posterior credible interval
