model_version,source,interval_prob,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v3p0_physical_event,Bayes_Modeled,0.95,2011,NH4,CT,12,12,352790.85618430725,270363.17642488383,440626.57369224215,0.08211377846698618,0,0.18694331290600955,28.825690458388348,0,69.5239999334508
v3p0_physical_event,Bayes_Modeled,0.95,2011,NH4,MT,12,12,397604.55781986046,308302.3846450701,479510.84770804836,0.09451379924990187,0,0.203002728004827,37.51064269112603,0,82.72503260776793
v3p0_physical_event,Bayes_Modeled,0.95,2011,NH4,ST,12,12,400249.4743043511,307828.95943637035,484494.755645348,0.09524576374340124,0,0.20527540934109273,38.045800037460566,0,83.582538435473
v3p0_physical_event,Bayes_Modeled,0.95,2012,NH4,CT,16,16,471363.5777344372,362768.0367795001,588856.1718205654,0.030148046857355455,0,0.1443080980512789,14.061684825730918,0,69.24423276179283
v3p0_physical_event,Bayes_Modeled,0.95,2012,NH4,MT,18,18,586757.5353828404,446376.7772705372,712669.093258224,0.04286337898516837,0,0.15742868588396003,24.964894595548078,0,91.69234626373135
v3p0_physical_event,Bayes_Modeled,0.95,2012,NH4,ST,16,16,524707.9896218884,415677.3031376996,622572.1987260747,0.039078720435940836,0,0.15947385211674447,20.339640564169954,0,81.27421632876002
v3p0_physical_event,Bayes_Modeled,0.95,2013,NH4,CT,14,14,493353.51218209526,368553.11077585514,601075.7613793212,0.08169624386158099,0,0.20737159227289487,39.85291069132697,0,103.51611489307513
v3p0_physical_event,Bayes_Modeled,0.95,2013,NH4,MT,14,14,496644.96380723914,368384.42952981417,603916.8231497043,0.0768947466977105,0,0.20474311369897008,37.692534925451774,0,100.15074308552633
v3p0_physical_event,Bayes_Modeled,0.95,2013,NH4,ST,14,14,496644.96380723914,368384.42952981417,603916.8231497043,0.08247713717501083,0,0.20948764216722984,40.477238925763764,0,106.55102314143267
v3p0_physical_event,Bayes_Modeled,0.95,2014,NH4,CT,10,25,321926.90121338173,256304.1736098114,383946.491930783,0.1100981122770583,0.03194715757960014,0.19012392840556303,35.3663683331093,10.361782966234244,62.04718317848696
v3p0_physical_event,Bayes_Modeled,0.95,2014,NH4,MT,8,8,264794.3103863681,204811.5100857296,319779.619628894,0.09826865872387129,0.014250787969204325,0.18549078714818568,25.917407519366925,3.675846229732037,50.4211972590394
v3p0_physical_event,Bayes_Modeled,0.95,2014,NH4,ST,10,24,330467.7773612161,254519.80203807226,399877.3838084785,0.11274787461032358,0.028133197058686967,0.2010613645352065,37.12833318475953,9.479777778582172,67.53928907437032
v3p0_physical_event,Bayes_Modeled,0.95,2015,NH4,CT,12,22,351740.1724858319,277091.2979952551,431950.632166791,0.08973620648261973,0.05425795661923252,0.1254257265538247,31.550868421610723,18.403401854556712,47.01466954778071
v3p0_physical_event,Bayes_Modeled,0.95,2015,NH4,MT,12,22,339798.23205062945,292290.5317444585,389567.3638673195,0.08987423830439642,0.06000675695568647,0.11842013563266354,30.514116964528974,19.69033554870038,41.12786025992973
v3p0_physical_event,Bayes_Modeled,0.95,2015,NH4,ST,12,22,327409.63828576024,280593.7021716008,374431.4237473132,0.09429330006759651,0.06362814355357405,0.12434432305020884,30.864152045239344,20.361479139896698,41.71605324850816
v3p0_physical_event,Bayes_Modeled,0.95,2016,NH4,CT,4,8,110949.5202143741,52678.489945003545,161045.66324834886,0.13772323744614895,0.10081792401101586,0.17380020735982415,15.158937381822307,6.890698111177695,23.21404820364498
v3p0_physical_event,Bayes_Modeled,0.95,2016,NH4,MT,4,8,98660.25433557476,43824.04439324969,147413.03087654884,0.1292209550467014,0.09357108927419637,0.16163931048287578,12.7345576122583,5.1200679934067725,20.130752878152244
