metric,value
R_n_residue_units,102
nonmissing_row_level_residue,7899
nonmissing_residue_units,66
approximate_old_residue_repetition_factor,119.68181818181819
conflicting_residue_units,0
rows_per_residue_unit_min,10
rows_per_residue_unit_median,90.5
rows_per_residue_unit_mean,105.92156862745098
rows_per_residue_unit_max,280
missing_RES_unit,36
R_bounds_ok,1
