Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean
ALL,ALL,"('Bayes',)",210,109596789.46819149,366429882.69932306,1.3382112015323744,0.9359547004286478,2.206913892617944,0.34285714285714286,149206058.4834478,0.95,94857398.95117179,1.0486276465534023
ALL,ALL,"('ML',)",231,73283366.82313824,406012526.18726313,1.7218195268610206,1.3173946033928492,2.9236964965776306,0.004329004329004329,8302473.704456542,,168671934.68335205,1.7337268410277822
