Analyte,CT,MT,ST
NH4,0.921* (15),0.871* (15),0.818* (15)
NO3,0.861* (15),0.957* (15),0.925* (15)
NO2,0.777* (15),0.540* (15),0.735* (15)
OP,0.604* (15),0.579* (15),0.693* (15)
Se,0.664* (15),0.686* (15),0.657* (15)
TDS,0.921* (15),0.868* (15),0.796* (15)
TKN,0.664* (15),0.700* (15),0.664* (15)
TN,0.725* (15),0.775* (15),0.857* (15)
TP,0.679* (15),0.704* (15),0.718* (15)
TSS,0.632* (15),0.461 (15),0.543* (15)
