Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,mean_abs_obs,CRPS_norm_mean
ICP,CT,ML,3,21540.14621021377,24059.286028586175,1.6551130382940185,1.4712983748694644,3.506004770613487,0.0,311.79149085398177,,18175.36991024545,14536.3401,1.2503401671405203
ICP,MT,ML,3,33459.80686683728,34218.16474234591,1.2180434323835692,0.7599054669169093,1.7064361227038927,0.0,756.6797487011136,,11030.770486747977,28092.729563333338,0.3926557033868774
ICP,ST,ML,3,22774.0910316095,28213.721052758337,1.5714707947045443,2.0144833066097854,4.3667421865552605,0.0,291.57693070909045,,11279.224776240777,17953.70372,0.6282394402930904
NH4,CT,Bayes,2,18098.694332567124,20125.468218202986,0.9613473745126334,2.432804189501894,4.865608379003788,0.0,21139.771516472727,0.95,13929.163053487106,20934.647299999997,0.6653641140391751
NH4,CT,ML,2,23808.06368752016,23818.365360580065,1.1377485858374154,2.8792084938374645,5.758416987674929,0.0,0.0,,322686.6583327678,20934.647299999997,15.41400023170048
NH4,MT,Bayes,2,19749.059620931188,22155.77815342382,3.9348341662798143,2.7996300662273326,5.599260132454665,0.0,15819.831381232132,0.95,16909.162194122233,5630.67647,3.003042757688799
NH4,MT,ML,2,7412.164455365641,9260.638899000407,1.6446760790360961,1.1701851731219568,2.3403703462439136,0.0,0.0,,49895.74576785183,5630.67647,8.861412306974872
NH4,ST,Bayes,2,18206.389307859376,22096.715953930303,3.4517945610542724,21.428210846035874,42.85642169207175,0.0,15852.709058107514,0.95,15246.07652170029,6401.515375000001,2.3816355391789226
NH4,ST,ML,2,6494.747525941144,6586.564452072633,1.02890707375246,6.38729719494417,12.77459438988834,0.0,0.0,,59682.03456501567,6401.515375000001,9.323110399467822
NO2,CT,Bayes,3,9138.362363267399,11578.243897916569,0.02119147847983455,0.007107519071363349,0.015123881109178604,0.6666666666666666,197174.01662762868,0.95,991005.7861841897,546363.19542,1.8138223703417364
NO2,CT,ML,3,125231.54439183832,180678.4414330322,0.3306929217553557,0.11091280159511593,0.2360080933963202,0.0,3184.1252429684027,,617220.0305460762,546363.19542,1.1296881556445382
