Analyte,Treatment,method,n,MAE,RMSE,NRMSE_mean,NRMSE_range,NRMSE_sd,Coverage,MeanWidth,IntervalProb,CRPS,CRPS_norm_mean
Volume,ALL,Bayes,35,402.32721110387024,472.07308992816274,0.8594803772378358,0.22507821256152286,0.6848449015280544,0.14285714285714285,175.63204498182236,0.95,,
Volume,ALL,ML,35,238.65925258070683,326.99757840449905,0.5712873587121422,0.1511551240909204,0.45433045918882825,0.0,11.338300204301722,,,
