model_version,source,interval_prob,Year,analyte,treatment,n_events,n_rows,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v1p7p5,Bayes_Modeled,0.95,2012,TN,MT,18,18,629147.5851074767,605865.6750950543,651762.9720103329,1.0552609453148691,-1.9345023856846275,4.181285603508221,665.5490767350783,-1212.0604339303238,2660.1272208241608
v1p7p5,Bayes_Modeled,0.95,2012,TN,ST,16,16,558092.8825214584,537777.2994115143,577610.2240088173,0.9758652789749988,-2.013101313902901,3.97246655929209,545.933407092698,-1116.244218742542,2237.9885457107594
v1p7p5,Bayes_Modeled,0.95,2013,TN,CT,14,14,529316.6620303735,510310.76171925507,548120.1838261477,3.2062467939837247,-3.5550288159631878,9.432485754770365,1699.8614643294638,-1865.6581108582118,4991.989077539908
v1p7p5,Bayes_Modeled,0.95,2013,TN,MT,14,14,530394.9409272269,511212.9895132029,549845.1721979616,3.070825356195504,-3.8146026403206363,9.342989141522644,1631.6927135667922,-2040.125903984632,4929.2638775303585
v1p7p5,Bayes_Modeled,0.95,2013,TN,ST,14,14,530394.9409272269,511212.9895132029,549845.1721979616,3.1555733462815234,-3.6543503955439993,9.462074000231386,1676.6254840611116,-1920.7752697416738,4980.574855492539
v1p7p5,Bayes_Modeled,0.95,2014,TN,CT,25,25,868504.5907395189,838188.7135409318,896156.248083592,5.841572208457051,3.579020847619687,8.287173058415398,5074.6792529100985,3106.7878171183256,7192.523336240278
v1p7p5,Bayes_Modeled,0.95,2014,TN,MT,12,12,420239.79074494774,404238.65850803314,435882.1378474557,5.616183615275551,3.0496187932305894,8.403624614992886,2360.9852996319823,1277.3295307546512,3552.999404408737
v1p7p5,Bayes_Modeled,0.95,2014,TN,ST,24,24,840479.5814898955,808477.3170160663,871764.2756949114,5.685524255523621,3.2049950560710716,8.340448138424373,4780.203164480334,2688.0551024545443,7088.145148609323
v1p7p5,Bayes_Modeled,0.95,2015,TN,CT,22,22,736713.4582306716,707429.5827696186,766123.8051681116,9.142935929741652,7.949669787602133,10.413770820203602,6735.489563704111,5851.959250497686,7710.156911516497
v1p7p5,Bayes_Modeled,0.95,2015,TN,MT,22,22,663212.8738700883,643746.4198096232,682088.885702594,8.84731938011757,8.015231650769811,9.613721178750534,5867.720249623142,5292.17361343569,6416.267225124662
v1p7p5,Bayes_Modeled,0.95,2015,TN,ST,22,22,638268.9983309784,618777.2114321459,657902.227886244,9.039148117575165,7.963567116291259,10.074900264071722,5769.471990114609,5036.938255821284,6461.41913361801
v1p7p5,Bayes_Modeled,0.95,2016,TN,CT,8,8,187163.03710881085,166772.69689089007,208204.96619331813,4.651140703629915,3.238215482953953,6.126898159176113,870.7352595005759,596.2176187863306,1167.0296024961635
v1p7p5,Bayes_Modeled,0.95,2016,TN,MT,8,8,160351.60732064254,140590.8176639735,180667.78575734518,4.8985323314426745,3.7110733672396012,6.055597114746357,785.7171270843886,573.1319547500109,1011.2093853822894
v1p7p5,Bayes_Modeled,0.95,2016,TN,ST,8,8,158743.18933840803,139072.41388660885,179169.33296011243,5.0149978803774795,3.7869470376355716,6.185943130721138,796.3716095652763,582.0180537583952,1021.6995579234476
v1p7p5,Bayes_Modeled,0.95,2017,TN,CT,30,30,1102409.409365576,1058324.7820461805,1147790.3303570864,5.647536168968234,-1.0423974565740668,12.437115766396403,6231.775283574507,-1157.1175837616588,13826.952560962181
v1p7p5,Bayes_Modeled,0.95,2017,TN,MT,24,24,737287.9241390408,712580.8451604936,761808.5074074061,5.921453317461443,-0.6450589794067221,13.836583615087957,4367.6505407318455,-477.39625503960804,10203.33836840613
v1p7p5,Bayes_Modeled,0.95,2017,TN,ST,29,29,863734.9914341464,831582.2393220583,895096.1515611238,6.1016998589787,-0.8122092906804593,14.079544946268712,5272.112560094274,-698.6107653411311,12271.774986397497
v1p7p5,Bayes_Modeled,0.95,2018,TN,CT,10,10,407852.16695444816,241642.9350451919,593735.5285292328,7.16574256190211,0.6755955920502861,13.861619699303825,2952.348176393533,184.20094192565773,6550.978979704632
v1p7p5,Bayes_Modeled,0.95,2018,TN,MT,10,10,393511.74158170546,230182.5128027414,578345.7216147027,6.8295470515774905,0.5697039569342713,13.517448441323875,2701.010896160094,176.21504047913288,6187.553410104794
v1p7p5,Bayes_Modeled,0.95,2018,TN,ST,10,10,391657.6658188576,228351.76509474643,576634.6930927144,6.905981377326344,0.6884124560460414,13.79846856406186,2730.012429173216,168.18641626786555,6256.186888576969
v1p7p5,Bayes_Modeled,0.95,2019,TN,CT,2,2,99979.49913558539,96832.9200624211,103364.22931936994,8.014445854867121,0.9193026377376577,15.088249402098606,801.5327337177363,93.00673807129611,1512.3702908724513
v1p7p5,Bayes_Modeled,0.95,2019,TN,MT,2,2,99979.49913558539,96832.9200624211,103364.22931936994,7.929697864781102,0.8590327065193879,15.048361444806819,793.0445635497564,83.81450397640359,1501.4712468951616
v1p7p5,Bayes_Modeled,0.95,2019,TN,ST,2,2,99979.49913558539,96832.9200624211,103364.22931936994,8.014445854867121,0.9193026377376577,15.088249402098606,801.5327337177363,93.00673807129611,1512.3702908724513
v1p7p5,Bayes_Modeled,0.95,2020,TN,CT,20,20,701473.1163933577,674001.1013055473,728408.9912280403,5.533561098962828,0.047182599589699975,10.46320829183546,3883.224073266036,33.467409793684396,7402.3544503284575
v1p7p5,Bayes_Modeled,0.95,2020,TN,MT,20,20,563451.9883930401,545704.738392833,581613.2463546302,6.277399740261591,1.1817632675964602,11.499657388852437,3537.4213501631443,668.2087032849597,6520.038748421916
v1p7p5,Bayes_Modeled,0.95,2020,TN,ST,20,20,568521.8600740697,549872.1241074887,587602.1696278194,6.296455819066834,1.1141455712822768,11.57711627512165,3579.948850292719,621.52233029391,6562.402265821608
v1p7p5,Bayes_Modeled,0.95,2021,TN,CT,31,31,1032520.5882724116,988500.4123696837,1077340.5269219074,6.111547073750193,1.106366769265859,11.087393860817752,6310.996701297416,1135.124744397357,11444.918417379762
v1p7p5,Bayes_Modeled,0.95,2021,TN,MT,31,31,769258.2880327604,732612.5122229988,803928.6664518708,6.528056518644292,0.981036045661313,12.70912676889769,5022.663835137454,768.304201837801,9766.824698549124
v1p7p5,Bayes_Modeled,0.95,2021,TN,ST,29,29,755814.1966462459,726981.8280014532,783546.5301311755,6.595569969805784,1.3263577161952154,12.392916027139293,4985.266490629942,995.1120761188843,9438.938639269538
v1p7p5,Bayes_Modeled,0.95,2022,TN,CT,45,45,1525820.4429228937,1476994.1639276224,1570027.1694300687,5.237401652785438,-0.17900310492877575,10.740595100890202,7991.251727404258,-272.53824877178386,16317.057066914815
v1p7p5,Bayes_Modeled,0.95,2022,TN,MT,47,47,1437561.019052759,1403509.394236192,1471686.0804883474,5.4886707405314805,0.18989806375865984,10.839260377808333,7888.489687745703,271.63745672572674,15686.294620453877
v1p7p5,Bayes_Modeled,0.95,2022,TN,ST,47,47,1466106.2096899676,1430314.8299410962,1501053.3430364556,5.528397593161388,0.21393205041607494,11.02395771928802,8103.492712287108,312.5196849897125,16252.323963684743
v1p7p5,Bayes_Modeled,0.95,2023,TN,CT,45,45,1856950.7710707348,1809885.011926984,1903950.7348998,6.095113229546727,-0.4131640564156677,12.2691701228681,11322.726343985347,-756.17793282506,22848.278888602123
v1p7p5,Bayes_Modeled,0.95,2023,TN,MT,51,51,1988485.9737806336,1944283.544842708,2031269.7364780107,6.2408658741964524,-0.011452168950999845,12.641445913206937,12414.497598506117,-22.443775539120313,25428.547279428793
v1p7p5,Bayes_Modeled,0.95,2023,TN,ST,45,45,1723272.1645905331,1687757.7462752818,1759592.6072103912,6.285063578207598,0.21977861595913512,12.889047953539134,10834.286336474173,374.13631478034847,22246.195638807436
v1p7p5,Bayes_Modeled,0.95,2024,TN,CT,32,32,1599671.9861693662,1549326.7209987375,1653827.669109919,7.354496145476122,0.30603382773112076,14.907198415820996,11767.540448040081,482.9420234213578,23740.609180727442
v1p7p5,Bayes_Modeled,0.95,2024,TN,MT,32,32,1599671.9861693662,1549326.7209987375,1653827.669109919,7.364998238373268,0.3259355078987348,14.906290522939612,11784.353039955111,505.55158861662426,23724.778947543142
v1p7p5,Bayes_Modeled,0.95,2024,TN,ST,32,32,1599671.9861693662,1549326.7209987375,1653827.669109919,7.365193313912306,0.3109881918923319,14.91405738939142,11784.6527092277,488.4676988663334,23740.691654061335
v1p7p5,Bayes_Modeled,0.95,2025,TN,CT,58,58,1991584.418673948,1923628.8667386272,2054672.7996439342,5.208958883911623,-1.4615292203232828,11.763210300744722,10378.252466852646,-2906.543515179027,23468.80980144597
v1p7p5,Bayes_Modeled,0.95,2025,TN,MT,58,58,1638291.205663365,1595258.2480229684,1682780.808068134,5.957062669023048,-0.6472724887872994,12.976228827226869,9762.21241153585,-1072.905046000847,21206.484079419984
v1p7p5,Bayes_Modeled,0.95,2025,TN,ST,58,58,1715681.728742029,1675334.191210879,1753537.271831577,5.905596979885256,-0.7130804958133705,12.61679289028571,10133.620313384657,-1222.5967938160948,21951.354034053995
v1p7p5,Bayes_Modeled,0.95,2011,TP,CT,12,12,405553.0545203959,387962.17453569744,423520.761193774,1.911172771769396,0.826317764829601,2.9892094273380176,774.8046730742047,337.63760050016293,1207.8463731058223
v1p7p5,Bayes_Modeled,0.95,2011,TP,MT,12,12,420234.01425085746,404239.7157276692,435869.6523110017,0.7778769658471295,-0.2615065577060758,1.8651038262248933,327.01555899059576,-111.04376850713382,790.3806525956538
v1p7p5,Bayes_Modeled,0.95,2011,TP,ST,12,12,421100.48836440034,404369.31130225654,437478.6225557903,0.7109895486178003,-0.3394216571829589,1.7971186479120291,299.5381390764649,-142.73652752759705,769.3983248857062
v1p7p5,Bayes_Modeled,0.95,2012,TP,CT,18,18,608828.7671448961,582697.3212427536,635386.9328533711,1.5013067320268652,0.622280538111863,2.3523932953851787,913.7631745214203,375.3586074188305,1447.6433810142148
v1p7p5,Bayes_Modeled,0.95,2012,TP,MT,18,18,629147.5851074767,605865.6750950543,651762.9720103329,0.4590684376339071,-0.45221120647782476,1.4007941048034145,288.96074661318164,-282.242211926811,892.0729561354497
v1p7p5,Bayes_Modeled,0.95,2012,TP,ST,16,16,558092.8825214584,537777.2994115143,577610.2240088173,0.3089512780799602,-0.5953246381173736,1.2567586069012338,172.58594911028283,-338.1332948311882,701.8954766961792
