iter	Passed	Remaining
401	16991	109812
402	17032	109762
403	17082	109764
404	17131	109765
405	17161	109648
406	17203	109604
407	17244	109555
408	17286	109508
409	17323	109434
410	17368	109410
411	17411	109372
412	17462	109386
413	17516	109414
414	17559	109376
415	17598	109313
416	17643	109287
417	17687	109254
418	17727	109198
419	17767	109143
420	17810	109102
421	17853	109064
422	17892	109001
423	17932	108946
424	17969	108874
425	18008	108809
426	18047	108751
427	18091	108717
428	18130	108656
429	18170	108598
430	18208	108534
431	18252	108499
432	18290	108435
433	18335	108405
434	18374	108345
435	18412	108279
436	18454	108237
437	18496	108192
438	18540	108162
439	18585	108134
440	18631	108113
441	18678	108097
442	18721	108062
443	18763	108017
444	18804	107970
445	18845	107918
446	18887	107872
447	18928	107826
448	18967	107763
449	19010	107727
450	19061	107734
451	19103	107690
452	19149	107668
453	19191	107625
454	19230	107561
455	19268	107500
456	19310	107454
457	19350	107397
458	19390	107346
459	19432	107303
460	19482	107300
461	19522	107245
462	19568	107223
463	19610	107179
464	19656	107157
465	19694	107093
466	19732	107029
467	19775	106992
468	19815	106936
469	19854	106876
470	19892	106813
471	19932	106757
472	19975	106719
473	20013	106656
474	20052	106595
475	20092	106541
476	20130	106476
477	20169	106415
478	20207	106354
479	20247	106301
480	20291	106265
481	20359	106360
482	20404	106329
483	20446	106287
484	20491	106259
485	20531	106206
486	20574	106167
487	20620	106145
488	20660	106088
489	20697	106023
490	20739	105980
491	20782	105940
492	20820	105877
493	20862	105832
494	20902	105778
495	20941	105718
496	20980	105664
497	21020	105609
498	21067	105589
499	21115	105578
500	21161	105553
501	21202	105503
502	21244	105463
503	21284	105410
504	21325	105358
505	21365	105305
506	21432	105387
507	21477	105360
508	21525	105343
509	21565	105292
510	21606	105242
511	21650	105207
512	21687	105142
513	21727	105084
514	21789	105139
515	21842	105150
516	21898	105172
517	21943	105141
518	21982	105083
519	22020	105020
520	22057	104954
521	22103	104929
522	22142	104871
523	22181	104813
524	22221	104757
525	22269	104744
526	22308	104686
527	22353	104652
528	22393	104603
529	22441	104586
530	22480	104529
531	22519	104468
532	22557	104406
533	22603	104383
534	22647	104349
535	22686	104290
536	22743	104316
537	22794	104310
538	22837	104271
539	22879	104229
540	22920	104181
541	22973	104187
542	23018	104157
543	23062	104119
544	23107	104089
545	23148	104043
546	23190	103995
547	23228	103934
548	23267	103878
549	23312	103848
550	23352	103793
551	23391	103737
552	23434	103695
553	23479	103667
554	23519	103614
555	23566	103592
556	23607	103543
557	23644	103476
558	23683	103419
559	23722	103361
560	23763	103314
561	23805	103268
562	23846	103220
563	23887	103175
564	23928	103123
565	23966	103062
566	24007	103018
567	24049	102970
568	24093	102936
569	24138	102906
570	24177	102851
571	24224	102829
572	24270	102800
573	24344	102892
574	24388	102854
575	24436	102838
576	24490	102842
577	24532	102797
578	24575	102757
579	24636	102792
580	24676	102742
581	24719	102701
582	24764	102667
583	24803	102610
584	24859	102623
585	24902	102585
586	24943	102535
587	24989	102508
588	25039	102498
589	25085	102469
590	25126	102418
591	25164	102356
592	25219	102364
593	25267	102347
594	25307	102293
595	25347	102240
596	25390	102198
597	25429	102141
598	25467	102083
599	25506	102027
600	25551	101991
601	25595	101957
602	25637	101912
603	25678	101862
604	25720	101820
605	25760	101768
606	25800	101714
607	25839	101657
608	25888	101642
609	25931	101599
610	25978	101574
611	26027	101557
612	26072	101523
613	26111	101469
614	26155	101432
615	26196	101384
616	26244	101361
617	26284	101311
618	26323	101254
619	26368	101220
620	26411	101179
621	26451	101128
622	26492	101081
623	26531	101024
624	26573	100978
625	26613	100926
626	26654	100878
627	26693	100821
628	26738	100791
629	26789	100778
630	26831	100733
631	26871	100682
632	26912	100634
633	26953	100584
634	26992	100530
635	27029	100467
636	27074	100435
637	27118	100397
638	27170	100390
639	27213	100350
640	27252	100293
641	27296	100256
642	27336	100206
643	27382	100176
644	27425	100135
645	27469	100096
646	27515	100066
647	27553	100010
648	27595	99965
649	27637	99919
650	27678	99873
651	27718	99821
652	27757	99764
653	27802	99730
654	27846	99695
655	27889	99653
656	27931	99610
657	27978	99582
658	28018	99531
659	28057	99477
660	28099	99432
661	28141	99387
662	28180	99334
663	28228	99309
664	28279	99296
665	28325	99268
666	28380	99268
667	28421	99220
668	28466	99185
669	28526	99204
670	28566	99151
671	28607	99104
672	28651	99067
673	28693	99022
674	28737	98985
675	28781	98948
676	28820	98891
677	28860	98839
678	28900	98789
679	28941	98741
680	28982	98692
681	29027	98661
682	29070	98617
683	29111	98569
684	29157	98540
685	29197	98487
686	29238	98440
687	29280	98396
688	29319	98342
689	29359	98291
690	29399	98238
691	29440	98192
692	29480	98142
693	29519	98085
694	29563	98047
695	29602	97993
696	29641	97939
697	29687	97909
698	29736	97888
699	29775	97834
700	29819	97797
701	29862	97756
702	29903	97706
703	29945	97663
704	29985	97613
705	30023	97555
706	30064	97507
707	30101	97448
708	30144	97407
709	30189	97371
710	30228	97317
711	30272	97281
712	30320	97254
713	30364	97216
714	30406	97172
715	30453	97144
716	30504	97128
717	30543	97076
718	30582	97021
719	30626	96983
720	30664	96926
721	30702	96871
722	30747	96834
723	30786	96782
724	30830	96744
725	30869	96689
726	30908	96636
727	30954	96605
728	30998	96567
729	31038	96518
730	31081	96476
731	31121	96424
732	31163	96382
733	31204	96334
734	31243	96282
735	31283	96231
736	31324	96183
737	31368	96146
738	31407	96091
739	31446	96039
740	31484	95982
741	31523	95930
742	31553	95849
743	31590	95789
744	31637	95761
745	31680	95719
746	31725	95687
747	31770	95651
748	31818	95625
749	31864	95593
750	31907	95554
751	31947	95503
752	32007	95512
753	32052	95478
754	32096	95440
755	32145	95414
756	32188	95375
757	32232	95337
758	32277	95300
759	32318	95253
760	32359	95208
761	32399	95158
762	32451	95143
763	32504	95131
764	32550	95098
765	32592	95053
766	32634	95011
767	32687	94998
768	32744	94996
769	32787	94956
770	32826	94903
771	32878	94887
772	32920	94842
773	32959	94789
774	33007	94763
775	33047	94713
776	33109	94725
777	33154	94691
778	33197	94648
779	33269	94691
780	33315	94657
781	33359	94618
782	33402	94575
783	33443	94528
784	33487	94489
785	33526	94437
786	33565	94384
787	33608	94341
788	33646	94286
789	33690	94247
790	33730	94196
791	33772	94153
792	33812	94102
793	33852	94054
794	33893	94005
795	33934	93959
796	33972	93905
797	34014	93860
798	34057	93817
799	34098	93769
800	34139	93724
801	34178	93671
802	34224	93636
803	34267	93596
804	34306	93543
805	34345	93491
806	34417	93528
807	34462	93492
808	34511	93466
809	34554	93425
810	34632	93478
811	34690	93476
812	34735	93438
813	34776	93392
814	34816	93342
815	34859	93301
816	34898	93246
817	34937	93195
818	34979	93151
819	35026	93118
820	35064	93064
821	35105	93017
822	35152	92985
823	35195	92942
824	35239	92904
825	35286	92873
826	35358	92906
827	35437	92958
828	35482	92922
829	35530	92892
830	35572	92847
831	35614	92804
832	35659	92765
833	35705	92731
834	35747	92687
835	35799	92667
836	35846	92635
837	35893	92604
838	35940	92572
839	35981	92524
840	36025	92484
841	36084	92483
842	36131	92449
843	36175	92409
844	36215	92360
845	36262	92326
846	36306	92287
847	36345	92236
848	36389	92194
849	36430	92146
850	36471	92100
851	36515	92059
852	36561	92025
853	36609	91996
854	36677	92015
855	36724	91981
856	36769	91945
857	36806	91888
858	36845	91834
859	36894	91807
860	36935	91759
861	36977	91714
862	37016	91662
863	37058	91616
864	37100	91570
865	37142	91525
866	37188	91491
867	37230	91445
868	37271	91398
869	37317	91363
870	37360	91320
871	37403	91278
872	37442	91225
873	37483	91177
874	37522	91125
875	37588	91139
876	37631	91097
877	37675	91055
878	37713	91001
879	37753	90952
880	37793	90901
881	37836	90859
882	37875	90807
883	37914	90754
884	37957	90712
885	37997	90661
886	38041	90621
887	38081	90573
888	38124	90528
889	38164	90478
890	38204	90429
891	38245	90383
892	38286	90335
893	38325	90282
894	38368	90241
895	38443	90274
896	38486	90231
897	38557	90253
898	38603	90217
899	38644	90171
900	38685	90124
901	38731	90086
902	38775	90045
903	38816	90000
904	38856	89948
905	38915	89943
906	38961	89907
907	39002	89861
908	39047	89821
909	39089	89776
910	39131	89731
911	39173	89685
912	39227	89669
913	39271	89628
914	39327	89614
915	39374	89580
916	39418	89540
917	39460	89495
918	39499	89444
919	39538	89391
920	39587	89362
921	39631	89322
922	39675	89280
923	39717	89235
924	39758	89187
925	39836	89224
926	39880	89183
927	39924	89142
928	39964	89092
929	40004	89042
930	40047	88998
931	40087	88950
932	40125	88896
933	40165	88844
934	40202	88790
935	40243	88742
936	40286	88700
937	40330	88657
938	40368	88604
939	40420	88582
940	40463	88537
941	40507	88497
942	40548	88449
943	40590	88404
944	40631	88357
945	40672	88310
946	40718	88273
947	40760	88229
948	40804	88187
949	40847	88144
950	40911	88146
951	40957	88109
952	41000	88067
953	41053	88044
954	41097	88004
955	41139	87958
956	41178	87908
957	41223	87868
958	41262	87817
959	41306	87775
960	41350	87735
961	41417	87743
962	41460	87700
963	41505	87660
964	41543	87608
965	41582	87556
966	41624	87510
967	41693	87522
968	41740	87487
969	41781	87440
970	41821	87389
971	41859	87337
972	41900	87288
973	41938	87235
974	42010	87252
975	42060	87223
976	42104	87183
977	42151	87146
978	42197	87111
979	42244	87075
980	42286	87029
981	42328	86983
982	42369	86937
983	42411	86892
984	42452	86844
985	42492	86794
986	42531	86742
987	42575	86701
988	42619	86661
989	42659	86610
990	42702	86567
991	42743	86521
992	42789	86483
993	42831	86439
994	42869	86385
995	42913	86344
996	42952	86292
997	42992	86243
998	43035	86199
999	43084	86169
1000	43158	86188
1001	43209	86159
1002	43250	86113
1003	43291	86065
1004	43334	86022
1005	43373	85970
1006	43413	85922
1007	43457	85879
1008	43498	85833
1009	43539	85785
1010	43584	85746
1011	43633	85713
1012	43680	85679
1013	43722	85633
1014	43762	85584
1015	43801	85534
1016	43843	85488
1017	43885	85443
1018	43931	85406
1019	43976	85365
1020	44028	85339
1021	44071	85296
1022	44114	85254
1023	44154	85205
1024	44193	85152
1025	44232	85101
1026	44273	85055
1027	44310	85000
1028	44359	84968
1029	44399	84919
1030	44444	84879
1031	44490	84843
1032	44536	84805
1033	44574	84752
1034	44614	84702
1035	44658	84661
1036	44703	84622
1037	44764	84612
1038	44811	84577
1039	44853	84531
1040	44893	84483
1041	44935	84437
1042	44975	84389
1043	45053	84409
1044	45097	84369
1045	45141	84327
1046	45182	84279
1047	45221	84229
1048	45268	84192
1049	45312	84150
1050	45352	84102
1051	45391	84052
1052	45434	84008
1053	45472	83956
1054	45516	83914
1055	45563	83877
1056	45602	83828
1057	45641	83776
1058	45685	83735
1059	45739	83711
1060	45778	83660
1061	45822	83620
1062	45863	83572
1063	45909	83534
1064	45954	83493
1065	45999	83455
1066	46043	83413
1067	46084	83365
1068	46124	83316
1069	46199	83332
1070	46244	83291
1071	46286	83246
1072	46379	83292
1073	46427	83257
1074	46471	83216
