analyte,CT_mod_load_sum_mean_kg,MT_mod_load_sum_mean_kg,ST_mod_load_sum_mean_kg,CT_mod_load_sum_low_kg,MT_mod_load_sum_low_kg,ST_mod_load_sum_low_kg,CT_mod_load_sum_high_kg,MT_mod_load_sum_high_kg,ST_mod_load_sum_high_kg,MT_pct_red_mean,MT_pct_red_low,MT_pct_red_high,ST_pct_red_mean,ST_pct_red_low,ST_pct_red_high
NH4,0.4880473260095725,0.43953390441519063,0.46330999528415684,0.10533417865022768,0.084949288515588,0.12040158152751651,0.834244504261761,0.7809687968591497,0.7984300070672625,10.535043414179906,-27.519193037498113,42.814143985362215,3.1870969231715125,-32.74458700617398,32.30532103500859
NO3,40.923623607164274,38.749966038621004,38.55274963508753,34.24768099262009,34.43400523157125,34.38771301613252,47.91806899168183,43.32849313166757,43.19309163958707,4.982994547679689,-6.314556034041052,15.199952766341587,5.455625014438615,-6.287410946603817,15.985993660663272
NO2,0.16975418899864733,0.06823404175202735,0.10761082552233445,-2.746063376730528,-2.6798605571924585,-2.5959651985150414,3.4919710756086086,3.2014586590446292,3.2806773028511174,-42.86200431876804,-248.79901922901755,324.3306044507603,-37.93419828617771,-229.47023579686794,278.5641725520318
OP,0.5991061980417458,0.597915222227273,0.5708239565951959,0.29243056602789785,0.32728492189229247,0.31773707955991354,0.93045501738411,0.8967034935525335,0.8400974665922989,-2.0667930925301627,-45.8822683142979,28.1895900249854,2.9048142441617246,-32.099544979834185,26.981388844488734
Se,0.038126093606954556,0.0334225221529548,0.03365183403260221,0.029393275791933404,0.026249972292600607,0.026536961130380246,0.046243904194039884,0.040080651466953846,0.04023967410686753,12.081830210748524,0.8787290412530485,21.753211558413994,11.477586749208706,0.7167993597239799,20.978688344560695
TDS,5199.126856256736,5005.142600205402,5011.971195330575,4047.554853171043,4005.9910267569508,4009.167562263373,6352.11209165316,5995.32632267442,6013.223113496781,3.4014193687301564,-9.583290284241418,14.98620074836494,3.2925525524583303,-8.443635066034656,13.384566408312498
TKN,12.142922710322818,8.361438159818285,8.496093850261488,7.727690396548095,4.427173045432411,4.749774309174365,17.101590191254786,12.891889700108376,12.990678830193932,31.370702388643636,7.483604995713099,54.77220301222948,30.189555678801486,9.90635917246718,49.77631355117762
TN,32.649386069108274,28.64637515672954,28.59052221590043,14.966651190848692,13.694503500863934,13.539695884604242,49.28666492124622,43.822695196000474,43.78901453289053,11.941109333163727,-4.928925726316759,25.806524555191956,12.088323732827517,-3.2424909263863277,25.419547097317853
TP,3.4894973506677385,2.2754660558442983,2.0977702429390956,1.090920007193903,-0.052450037092977395,-0.028570748737851443,6.224927015478726,4.761905708933603,4.333326856013278,35.39349055965569,-31.040538888900862,101.47893984751173,42.336392035621394,-3.4203846109429503,99.01443372295374
TSS,6603.755361694218,3399.3387075881024,3894.541161135292,4330.48412492867,1114.1642882289686,1768.9716012411263,9439.78365305135,5623.224361849116,6000.384026135378,49.0693619494714,24.407186024081597,77.75461957028115,41.29373405619331,20.80147584719973,64.26099860968762
