analyte,CT,MT,ST,MT reduction from CT,ST reduction from CT
NH4,"0.49 (0.11, 0.83)","0.44 (0.08, 0.78)","0.46 (0.12, 0.80)","10.5% (-27.5%, 42.8%)","3.2% (-32.7%, 32.3%)"
NO3,"40.92 (34.25, 47.92)","38.75 (34.43, 43.33)","38.55 (34.39, 43.19)","5.0% (-6.3%, 15.2%)","5.5% (-6.3%, 16.0%)"
NO2,"0.17 (-2.75, 3.49)","0.07 (-2.68, 3.20)","0.11 (-2.60, 3.28)","-42.9% (-248.8%, 324.3%)","-37.9% (-229.5%, 278.6%)"
OP,"0.60 (0.29, 0.93)","0.60 (0.33, 0.90)","0.57 (0.32, 0.84)","-2.1% (-45.9%, 28.2%)","2.9% (-32.1%, 27.0%)"
Se,"0.04 (0.03, 0.05)","0.03 (0.03, 0.04)","0.03 (0.03, 0.04)","12.1% (0.9%, 21.8%)","11.5% (0.7%, 21.0%)"
TDS,"5199.13 (4047.55, 6352.11)","5005.14 (4005.99, 5995.33)","5011.97 (4009.17, 6013.22)","3.4% (-9.6%, 15.0%)","3.3% (-8.4%, 13.4%)"
TKN,"12.14 (7.73, 17.10)","8.36 (4.43, 12.89)","8.50 (4.75, 12.99)","31.4% (7.5%, 54.8%)","30.2% (9.9%, 49.8%)"
TN,"32.65 (14.97, 49.29)","28.65 (13.69, 43.82)","28.59 (13.54, 43.79)","11.9% (-4.9%, 25.8%)","12.1% (-3.2%, 25.4%)"
TP,"3.49 (1.09, 6.22)","2.28 (-0.05, 4.76)","2.10 (-0.03, 4.33)","35.4% (-31.0%, 101.5%)","42.3% (-3.4%, 99.0%)"
TSS,"6603.76 (4330.48, 9439.78)","3399.34 (1114.16, 5623.22)","3894.54 (1768.97, 6000.38)","49.1% (24.4%, 77.8%)","41.3% (20.8%, 64.3%)"
