chain,parameter,mean,sd,q05,median,q95,probability_positive
1,beta_res_V,-0.3947294350972,0.37546560194683565,-0.8965768500000001,-0.478435,0.31682469999999985,0.174
2,beta_res_V,-0.3215899331436,0.42094840911149756,-0.89965635,-0.3816815,0.43076214999999995,0.244
3,beta_res_V,-0.39108153697,0.366506950030789,-0.90184495,-0.443494,0.27801964999999995,0.161
4,beta_res_V,-0.319159989483,0.3844558017674674,-0.8805124499999999,-0.34538250000000004,0.3542554,0.217
1,beta_tire_comp_V,1.005717391,0.12035821381373417,0.80859945,1.004225,1.2107605000000001,1
2,beta_tire_comp_V,1.009930993,0.1236892817538437,0.7983714,1.00749,1.2092055,1
3,beta_tire_comp_V,1.013302908,0.11583419998291186,0.823907,1.0141200000000001,1.2069465000000001,1
4,beta_tire_comp_V,1.011787407,0.12462906140699503,0.803406,1.0144000000000002,1.2121544999999998,1
1,b_res_stir,-1.0762199188,0.3941321984700552,-1.7361525,-1.087985,-0.3879104000000001,0.003
2,b_res_stir,-1.10591718837,0.4015594356702744,-1.7588884999999999,-1.150125,-0.41367865000000076,0.004
3,b_res_stir,-1.1057108159,0.3869287178618093,-1.7555119999999997,-1.100935,-0.4683904000000001,0.001
4,b_res_stir,-1.1516911217,0.377386251356374,-1.752959,-1.159615,-0.5423946000000001,0
1,res_base,0.2056549647,0.08498614509272147,0.07723681500000001,0.1979095,0.3580116,1
2,res_base,0.2114594282,0.0859946413953104,0.08757114,0.2057,0.36819194999999993,1
3,res_base,0.2158534567,0.08582451333800152,0.08635616,0.20854699999999998,0.3707082,1
4,res_base,0.2058583255,0.08677959322407218,0.08105003499999999,0.1994695,0.3665858999999999,1
1,sigma_PCr_res,1.4340612687,0.7417735325011844,0.28791625,1.3575949999999999,2.8173449999999995,1
2,sigma_PCr_res,1.3932018323,0.6910910236687752,0.39686255000000004,1.3095249999999998,2.68448,1
3,sigma_PCr_res,1.4070772315,0.7517763898361574,0.25333780000000006,1.312315,2.8660295,1
4,sigma_PCr_res,1.4478418603,0.6992377740498492,0.5073178500000001,1.35517,2.7163449999999987,1
1,sigma_res_obs,2.31953389,0.26105735441136335,1.9331539999999998,2.2900099999999997,2.8116649999999996,1
2,sigma_res_obs,2.3169395,0.25130631103479256,1.934965,2.292375,2.7645955,1
3,sigma_res_obs,2.33091043,0.2641063925839714,1.9367345,2.3064400000000003,2.794002,1
4,sigma_res_obs,2.29345766,0.24812702801903294,1.9287015,2.27126,2.739757,1
