Year,Treatment,compacted_events_per_plot,posterior_mean_difference_kL,posterior_median_difference_kL,lower_95_difference_kL,upper_95_difference_kL,probability_positive
2021,ST,6,134.33765286766587,134.28117823429125,102.52956941053768,165.5607696201549,1
2022,MT,8,179.11687049022115,179.041570979055,136.70609254738355,220.74769282687322,1
2022,ST,8,179.11687049022115,179.041570979055,136.70609254738355,220.74769282687322,1
2023,MT,7,156.7272616789435,156.66137460667312,119.61783097896061,193.15423122351405,1
2023,ST,7,156.7272616789435,156.66137460667312,119.61783097896061,193.15423122351405,1
2024,MT,4,89.55843524511057,89.5207854895275,68.35304627369177,110.37384641343661,1
2024,ST,4,89.55843524511057,89.5207854895275,68.35304627369177,110.37384641343661,1
2025,MT,8,179.11687049022115,179.041570979055,136.70609254738355,220.74769282687322,1
2025,ST,8,179.11687049022115,179.041570979055,136.70609254738355,220.74769282687322,1
