divergence_group,draws,mean_beta_res_V,median_beta_res_V,q05_beta_res_V,q95_beta_res_V
divergent,28,-0.4278440142857143,-0.6002069999999999,-0.9008743,0.37616689999999986
nondivergent,3972,-0.3561382835583585,-0.416121,-0.8951619,0.35079479999999996
