metric,value
N_concentration_rows,10984
E_n_physical_events,528
J_VOL_genuine_volume_observations,372
VIN_n_physical_event_units,528
nonmissing_raw_volume_rows,6985
copied_volume_rows_removed_by_preflight,9395
conflicting_VIN_event_groups,0
rows_per_event_min,1
rows_per_event_median,20
rows_per_event_mean,20.803030303030305
rows_per_event_max,60
missing_C_raw,5617
missing_CIN,5731
missing_VIN,4389
missing_VIN_event,204
events_without_volume_likelihood_row,195
missing_RES_unit,36
E_bounds_ok,1
E_rep_row_bounds_ok,1
VIN_E_bounds_ok,1
