model_version,source,interval_prob,interval_type,Year,analyte,treatment,n_events,n_rows,n_complete_plots,n_complete_volume_plots,volume_mean,volume_low,volume_high,conc_mean,conc_low,conc_high,load_mean,load_low,load_high
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NH4,CT,12,12,NA,NA,134835.34227254023,94200.85380037181,174839.14609434496,0.1194366110063063,0.008923693933539369,0.27161872799280196,16.06798640723523,1.2558394077579647,37.240993046817124
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NH4,MT,12,12,NA,NA,115243.69506776468,73297.30122174173,161794.17187026102,0.11692030079125759,0.007519961748560671,0.2765351322043591,13.417354578360209,0.7841129761573691,33.78450788228804
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NH4,ST,12,12,NA,NA,117586.12881817667,79532.48352344788,157303.0927319125,0.11147436018677742,0.005907320496616278,0.284573202846649,13.032240746046272,0.7842940085014187,34.14214197673912
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NH4,CT,20,20,NA,NA,197821.20009512958,127660.71496017739,268059.54262862867,0.10196674580883243,0.004553247358591542,0.25912109769733954,20.258158245691817,0.9045035667618677,54.59798985263811
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NH4,MT,20,20,NA,NA,162260.12314067635,113124.9102102413,212037.70238541346,0.10641926332061938,0.009955780616198086,0.2684347034894724,17.259274474021304,1.584005425932482,44.542765396464624
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NH4,ST,20,20,NA,NA,150754.75497891393,97125.79649354768,206109.58125118166,0.09613169666529357,0.006759610085590598,0.25443425765301725,14.486790020749279,0.963307493600313,40.111663707738586
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NH4,CT,14,14,NA,NA,180696.07226113623,130730.78392424769,228228.07815346582,0.12060604036317764,0.0037377627533721662,0.3088272397667279,21.77994636300902,0.6789346377525223,57.99224942486347
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NH4,MT,14,14,NA,NA,175394.4637358185,131272.273978976,227246.84582310996,0.11541018236956026,0.0054349328112628095,0.30923366929547474,20.25896977892253,0.8965297476209704,55.17637773428045
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NH4,ST,14,14,NA,NA,153126.44736839595,111274.04925890337,195173.18466090225,0.1138912260929499,0.004809820827382221,0.29891344281151355,17.484571826692147,0.7517187390900392,48.79290438333605
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,NH4,CT,10,10,NA,NA,140522.73581465046,107198.17683247046,174627.30555032956,0.1299522714731113,0.019801820564761333,0.2816325962097388,18.238307621940482,2.845773622027476,40.58269743564327
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,NH4,MT,10,10,NA,NA,83200.2582687293,46732.14043241992,121216.59768764878,0.12110585950340991,0.015453985523410272,0.27144113320203245,10.011503081543319,1.180292276805023,24.019431996345233
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,NH4,ST,10,10,NA,NA,87848.64342343732,52368.12949678376,125079.71076250263,0.12237336372233797,0.018285739844040198,0.2690591885965381,10.719174392466739,1.4424508781938075,24.6632672065319
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,NH4,CT,12,12,NA,NA,155685.1223719953,117072.6990516919,195147.03987937554,0.09506092326162217,0.04292671106232988,0.1604916370675207,14.810405440926218,6.209095243853714,26.845694662999442
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,NH4,MT,12,12,NA,NA,96716.59043751932,64177.45671400179,131329.27264595695,0.10295385256411207,0.04752745182537827,0.1694820940455905,9.954861835600381,4.163517698376115,18.026949039107848
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,NH4,ST,12,12,NA,NA,91289.67791768334,59242.465482570275,124725.99977103589,0.12963831013973615,0.06750978857626845,0.20043168215910476,11.820215280806208,5.306399658699268,20.663496751939928
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,NH4,CT,4,4,NA,NA,61085.95048467062,40644.219991392994,82615.48691372451,0.18432066323302831,0.11036347099603172,0.26048726546210815,11.290362619480032,5.6420894270394815,18.04447531436226
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,NH4,MT,4,4,NA,NA,28990.025250254588,9723.33150034626,49748.89821827525,0.0992875547557484,0.031245099940105697,0.1672287482851819,2.8714691846726126,0.5938937038339348,6.051712512034346
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,NH4,ST,4,4,NA,NA,37578.50770124874,17435.48027315647,57298.61513574984,0.09211926852946084,0.027840269779556937,0.15735995383252074,3.4622390825285736,0.8527529664987753,6.969341357946654
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,NH4,CT,12,12,NA,NA,209527.83325342453,159872.70036934497,254890.06303543513,0.13595809723417637,0.008195238828080147,0.3240295766394614,28.57829155285946,1.6968615978202521,68.6403251397428
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,NH4,MT,12,12,NA,NA,123358.14452346112,89161.56933252237,157053.26796634716,0.12317516835206929,0.0037260113943608036,0.2984736877020613,15.189103138758286,0.4628573201676178,36.5380736732309
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2017,NH4,ST,12,12,NA,NA,113592.45411294636,80551.20063849154,148118.68610823777,0.11982013866984258,0.0047292018055119876,0.3162859242091162,13.665664898125712,0.47471445848970867,38.055848504927894
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,NH4,CT,10,10,NA,NA,156652.17223705363,83701.02379536151,244642.4920181958,0.12050032626506459,0.00516739083175873,0.2992438918690511,19.000938071108596,0.7143250086498141,51.54938573250797
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,NH4,MT,10,10,NA,NA,138095.44749133944,69725.93818133243,221782.52317820434,0.11646127880608913,0.005071589575115257,0.2875030708775027,16.154588994289544,0.6276172924754562,46.181843945487344
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2018,NH4,ST,10,10,NA,NA,137700.21994865822,69531.19183530757,220264.5427961474,0.11506117923208474,0.004709450621582701,0.2847264190091511,15.970968721524605,0.56477235868274,45.095537157360376
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,NH4,CT,2,2,NA,NA,30335.22576599273,12371.995632091974,47809.62646649845,0.14514569413335401,0,0.3932612627449351,4.379620872843108,0,12.765981961696228
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,NH4,MT,2,2,NA,NA,30393.22733863872,12263.463559523958,48796.149771408265,0.14294506467883858,0,0.40266958998810704,4.345234548518311,0,13.44699686216295
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2019,NH4,ST,2,2,NA,NA,30499.458038559904,11815.024600310662,48761.74450819588,0.1445571351143405,0,0.4036919024769299,4.411252378753151,0,12.938085097010283
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,NH4,CT,14,14,NA,NA,185081.9827374712,126830.70182177905,241432.10102057047,0.10585444213814331,0.007440856056648402,0.22889897414106664,19.558228763596823,1.4894778575718193,45.48611400981145
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,NH4,MT,14,14,NA,NA,117236.48954267692,70135.77794047032,164251.96574185742,0.10743083340951301,0.00723348424122459,0.2506550929108257,12.58541752434027,0.8318179958114088,30.00779632785013
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2020,NH4,ST,14,14,NA,NA,123084.80921329673,83690.69982112366,164523.6370206336,0.10974739143178254,0.006793834034077287,0.2503746923285639,13.481330944096879,0.8461790313323616,31.95606413453827
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2021,NH4,CT,12,12,NA,NA,166996.65869893078,119869.744966165,214677.58859721932,0.11829383527779348,0.013875827081725998,0.2644669574573475,19.740325939767484,2.2377045511670737,44.771046704834106
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2021,NH4,MT,12,12,NA,NA,105253.40490358115,61831.63317521733,156527.7166429837,0.1278519695084341,0.009504466963123874,0.2915502164916602,13.457607917576558,0.8869740381847102,33.34092635543894
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2021,NH4,ST,12,12,NA,NA,217411.11913122542,166502.09207216298,265147.35866621806,0.13046558183931867,0.012337558336999531,0.29765369530944297,28.32118247401143,2.452162180788389,62.94710242480009
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2022,NH4,CT,16,16,NA,NA,235190.43227516784,172038.45327064645,297866.9236374572,0.11398883791725642,0.010767143660024524,0.24787638612307183,26.780447081803146,2.4192551613832545,60.229369468685974
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2022,NH4,MT,16,16,NA,NA,348622.0631541965,292984.2121819963,406160.9253289428,0.11081344410317756,0.010143104835214774,0.25936091075965995,38.608819193718055,3.3977209645026023,87.20682296769868
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2022,NH4,ST,16,16,NA,NA,355934.6484343899,295437.954803243,415505.8751917449,0.11315987824921606,0.01201530257008501,0.24994516145658854,40.3136700076427,4.197306862681208,92.41219069065028
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2023,NH4,CT,14,14,NA,NA,240407.9928968182,196055.9049165508,286805.3928477303,0.10533069153141748,0.008150693104172614,0.29767287045473856,25.3884090062976,1.917956746685694,71.1283893597201
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2023,NH4,MT,14,14,NA,NA,343683.73375901143,294724.6378123604,387979.0646791809,0.10435836026971348,0.009423988887184261,0.28012451808511096,35.86922705603147,3.2075358637889186,95.32199226410509
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2023,NH4,ST,14,14,NA,NA,318984.15810921293,270385.1484023513,365671.1679815499,0.10499916164472757,0.009188469589984496,0.2777088385812453,33.56797865334059,3.0566636665389297,89.08192419319388
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2024,NH4,CT,8,8,NA,NA,145400.14823478233,111940.67712484833,178972.9807425568,0.1257838300099689,0.007241925165564973,0.3407014542599258,18.372095921722977,0.9720390812375507,51.918124128760034
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2024,NH4,MT,8,8,NA,NA,222089.4644348292,188270.649237842,254289.83475454518,0.1291428905058518,0.006634227257095639,0.3437747431084279,28.621316756679946,1.5568728848343403,76.29642439548634
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2024,NH4,ST,8,8,NA,NA,213170.11209975337,184043.390533279,241498.2011407426,0.12977200931739757,0.005075014473238621,0.3655505705466917,27.610484686097944,1.0286535766551939,76.27064774872275
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2025,NH4,CT,16,16,NA,NA,272807.6275615254,223068.80147613323,319701.54329636734,0.11172505943413867,0.0038472849730010967,0.26823721987294513,30.558131785442626,1.0490698418319289,74.55964379972846
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2025,NH4,MT,16,16,NA,NA,354541.54364770604,309367.7611319728,400582.2376652093,0.11318384717294401,0.007044158618762998,0.29342437171831814,40.13818458565706,2.5541589925638446,106.87458651587026
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2025,NH4,ST,16,16,NA,NA,364984.1774683531,324657.5387111106,407403.78151712625,0.11162935249998426,0.0055065727011163815,0.27002734737218065,40.75803176182096,2.011577904984375,98.01079855862847
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NO2,CT,12,12,NA,NA,134835.34227254023,94200.85380037181,174839.14609434496,0.4770223982503509,0,1.6890868678454076,64.33203135357475,0,229.93135363306544
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NO2,MT,12,12,NA,NA,115243.69506776468,73297.30122174173,161794.17187026102,0.41795070517411925,0,1.6049150543814927,48.76988499504007,0,194.44947929551358
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2011,NO2,ST,12,12,NA,NA,117586.12881817667,79532.48352344788,157303.0927319125,0.4289400368842232,0,1.6149069838251346,50.55757496994729,0,195.64514718843571
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NO2,CT,20,20,NA,NA,197821.20009512958,127660.71496017739,268059.54262862867,0.5133394348396161,0,1.6770034349828618,102.51881584456223,0,342.4483978230981
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NO2,MT,20,20,NA,NA,162260.12314067635,113124.9102102413,212037.70238541346,0.4379512919617316,0,1.5065570845255194,71.14615603663066,0,252.72022865936034
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2012,NO2,ST,20,20,NA,NA,150754.75497891393,97125.79649354768,206109.58125118166,0.4367029116318729,0,1.5594028856148796,66.21671445413752,0,237.36485783415208
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NO2,CT,14,14,NA,NA,180696.07226113623,130730.78392424769,228228.07815346582,0.34882258922993575,0,1.4862497771268486,63.01371584435562,0,268.8297342895266
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NO2,MT,14,14,NA,NA,175394.4637358185,131272.273978976,227246.84582310996,0.32279651816679406,0,1.4399539077964998,56.76437854392957,0,253.18519727027208
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2013,NO2,ST,14,14,NA,NA,153126.44736839595,111274.04925890337,195173.18466090225,0.3117771649985968,0,1.4231587733090776,47.749429848458846,0,217.51587474426913
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,NO2,CT,10,10,NA,NA,140522.73581465046,107198.17683247046,174627.30555032956,0.45105308502000274,0,1.6441588349109661,63.576669552565036,0,243.1036188857356
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,NO2,MT,10,10,NA,NA,83200.2582687293,46732.14043241992,121216.59768764878,0.38864140087033694,0,1.5729708989258537,32.62175604050789,0,140.9347492768871
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2014,NO2,ST,10,10,NA,NA,87848.64342343732,52368.12949678376,125079.71076250263,0.39281426449857937,0,1.5674315207355516,34.476963155305995,0,132.0762151050502
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,NO2,CT,12,12,NA,NA,155685.1223719953,117072.6990516919,195147.03987937554,0.4527149744232302,0,1.6151171918461393,70.37541686449714,0,254.75882608962235
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,NO2,MT,12,12,NA,NA,96716.59043751932,64177.45671400179,131329.27264595695,0.38400472303484284,0,1.492485907266754,36.92809064400645,0,143.2156474964268
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2015,NO2,ST,12,12,NA,NA,91289.67791768334,59242.465482570275,124725.99977103589,0.35960335538058785,0,1.4088464613099523,32.71182007492154,0,126.79824732862659
v3p3_physical_event,Bayes_Modeled,0.95,95% posterior credible interval,2016,NO2,CT,4,4,NA,NA,61085.95048467062,40644.219991392994,82615.48691372451,0.4470353451614706,0,1.8482717674871436,27.416532520514178,0,118.91559404542745
