Year,CT,MT,ST
2011,NA,NA,NA
2012,NA,NA,NA
2013,NA,NA,NA
2014,NA,NA,NA
2015,"132 (103, 162)","66 (44, 87)","58 (43, 72)"
2016,"77 (64, 89)","10 (8, 13)","39 (27, 51)"
2017,"298 (198, 397)","96 (94, 98)","77 (33, 122)"
2018,NA,NA,NA
2019,NA,NA,NA
2020,NA,NA,NA
2021,NA,NA,NA
2022,NA,NA,NA
2023,NA,NA,NA
2024,NA,NA,NA
2025,NA,NA,NA
