analyte,CT_mod_load_sum_mean_kg,MT_mod_load_sum_mean_kg,ST_mod_load_sum_mean_kg,CT_mod_load_sum_low_kg,MT_mod_load_sum_low_kg,ST_mod_load_sum_low_kg,CT_mod_load_sum_high_kg,MT_mod_load_sum_high_kg,ST_mod_load_sum_high_kg,MT_pct_red_mean,MT_pct_red_low,MT_pct_red_high,ST_pct_red_mean,ST_pct_red_low,ST_pct_red_high
NH4,0.12083940973503383,0.1566951555096631,0.17057134758291362,0.03925890223365307,0.05038245723110596,0.057079619884970484,0.2351814644076301,0.30909237966274916,0.3294356521664338,-33.085436231502,-97.89616748029832,20.488358161691618,-46.1851393307067,-123.66738976717846,10.715854330756109
NO2,0.36499940046342777,0.4121282631630077,0.44537044365432876,0.19387351199062075,0.22860527214021792,0.23217663266878788,0.5955728041566034,0.6603912388596549,0.734448539131977,-15.625249895653274,-64.62186625318424,20.701136060246895,-23.83656327763265,-69.596929455565,13.690041022823795
NO3,6.169857392363294,8.22035108646703,8.793444818860005,4.732921366909627,6.415115255929068,6.944365451574224,7.99622888633656,10.447014475008121,10.994127225649425,-34.05811195724808,-61.854009423603344,-10.92760587819063,-43.5402066544051,-74.57108260441453,-17.438788873138954
OP,0.19889990267827198,0.28001206170906295,0.3017966727222263,0.12390907517432578,0.18375262004813214,0.1977308458086427,0.288140285477826,0.3870891423233175,0.41754703176342506,-42.64742074721856,-82.08502931823816,-10.55707602199102,-53.767223045173935,-98.45390870282716,-21.713873206084813
Se,0.00704998641211448,0.008317604100879445,0.00906061876294532,0.005364035714461302,0.006174766742815165,0.006943957424075169,0.008843488050265524,0.010473437753265117,0.011117353774016058,-18.59581532299481,-44.49619484663454,4.831085508571218,-29.305313039133036,-57.21030565316177,-5.363287342943832
TDS,904.9823413368163,1226.7304167326308,1305.0811666679115,622.2635993032997,881.8314758395632,927.7855664306952,1209.5107268888946,1573.2396928528492,1680.3571046101624,-36.66357659902109,-63.326728609678035,-12.471115452959278,-45.33453911407548,-76.42508966605622,-20.047794624118666
TKN,3.5891584985015905,4.671585004925556,5.411389028648604,2.2324485607951603,3.0722820973233134,3.6790143105413997,5.233633128628243,6.6758783991195125,7.551891397694288,-32.13704519463017,-77.5858401246069,1.925198280050814,-53.58033326681933,-108.54961705501594,-11.329207839851218
TN,6.5067500848172255,8.288357767144499,8.869321345444982,2.268065427217002,2.4641840558500494,2.95784772650768,12.103153771861908,15.118345060743906,15.988239179353577,-28.144385620192846,-65.91135600440546,6.400587347741405,-37.43944009436817,-78.04564568927941,-3.8504161321075774
TP,0.7844974347689619,1.4831203716858181,1.4008610681013733,0.15945940694551958,0.6320207705958705,0.4129822389348572,1.8121880146332288,2.7897692884630203,2.87675300279109,-124.30918395604371,-387.5354499430706,-30.029119293567103,-95.67558411271115,-234.03477583632974,-30.25580975941743
TSS,920.238671226261,1381.2055445347323,1403.873111090674,304.4338754242841,614.2752295818186,517.703299706654,1894.5679181623568,2622.4239264786083,2783.09369724355,-60.60311929509916,-160.0365576170364,-6.826272819384906,-59.04717493814906,-144.17237207133766,-8.550521956211053
