analyte,CT_mod_load_sum_mean_kg,MT_mod_load_sum_mean_kg,ST_mod_load_sum_mean_kg,CT_mod_load_sum_low_kg,MT_mod_load_sum_low_kg,ST_mod_load_sum_low_kg,CT_mod_load_sum_high_kg,MT_mod_load_sum_high_kg,ST_mod_load_sum_high_kg,MT_pct_red_mean,MT_pct_red_low,MT_pct_red_high,ST_pct_red_mean,ST_pct_red_low,ST_pct_red_high
NH4,0.17396224595869078,0.12204777713902677,0.11853444829178957,0.08051372672746153,0.050295380636729344,0.05349743831239852,0.3051517888395402,0.23188718737696412,0.2231242615922993,29.38894076881527,-1.8176057414375166,55.305128706090144,31.17754010401101,2.175104948574398,55.422266930493336
NO2,0.6137028859531451,0.39077449433129985,0.3815923264160727,0.14396727519356323,0.06664265816487006,0.0680376356141413,1.591078621191643,1.086772642723567,1.0583105745448635,36.418858881594716,-3.7022067458205656,69.69413067419381,37.53930071337635,-1.1797502426474713,69.35852962609567
NO3,11.503394587439567,8.629908230312186,8.31905119493913,9.598785359934475,6.8939609111410105,6.721316225505568,13.666024537754147,10.490418585837451,10.064391357037719,24.747827898360082,9.278018520791505,38.74629898984749,27.45768065316852,12.541294779795454,39.93926714792284
OP,0.19438501472021902,0.15837576363822387,0.14714928825456114,0.110217869548906,0.09097688382734725,0.08446400997472617,0.2980914346767438,0.24586381519069855,0.230180181629356,17.001490557544354,-19.088101649906562,43.74727125312624,22.984873879308562,-8.384530982086398,46.60435893242725
Se,0.009370626795786466,0.006223840468608737,0.006018094790783971,0.007135068588667748,0.004453711075677364,0.004270569108630162,0.011947492482674403,0.008204449374174957,0.008009988498080052,33.43163626259486,18.091476040929525,47.06903936720218,35.632561035624335,20.897930824720184,48.42039414101271
TDS,1227.8053164021374,939.4179106406743,913.3418494302907,816.8542416972552,632.0578396027836,612.7960679061053,1670.323833134562,1273.2238021419987,1218.1577600144738,22.943710585653417,4.537651968977323,38.47428744992336,25.094159969776744,7.823986256507661,39.574653219286034
TKN,4.949004431688758,3.315018255966024,3.0858536353617114,3.20541518977767,2.028947755955261,1.8246915767974135,7.2365427409370895,5.019110276469393,4.770078855518127,32.291062299323656,5.071377285063202,53.763467199070995,37.189134915901874,13.342865278291562,56.25132441050934
TN,8.33347657994955,5.619688194583845,5.408687023708575,4.812731777710418,2.9822466356410624,2.9280730983522765,13.036893424068117,8.94153536907223,8.525384801907407,32.59275758624985,14.461863570667443,48.488243064025156,35.02157778722038,17.921023329290122,49.644653736561565
TP,0.7986790596877256,0.5422703190970527,0.4942936572612226,0.144174422498093,0.07373399024376218,0.060827407642773494,1.782008895763618,1.2702563118896042,1.1716764768861503,30.590447122748117,-24.731246499823584,72.84917720301435,37.42880194722852,-13.103378951822648,77.0176027680534
TSS,1138.016039879414,505.52353279791765,454.0376609899111,404.3794388632974,111.48825432358865,95.92354231631495,2278.4687111383228,1184.8675019137936,1055.9454236129013,56.61728631918912,27.365470631582532,81.25289276028224,61.366372026130705,36.34656389806144,84.21702745789466
