Year,CT,MT,ST
2011,"135 (94, 175)","115 (73, 162)","118 (80, 157)"
2012,"198 (128, 268)","162 (113, 212)","151 (97, 206)"
2013,"181 (131, 228)","175 (131, 227)","153 (111, 195)"
2014,"141 (107, 175)","83 (47, 121)","88 (52, 125)"
2015,"156 (117, 195)","97 (64, 131)","91 (59, 125)"
2016,"61 (41, 83)","29 (10, 50)","38 (17, 57)"
2017,"210 (160, 255)","123 (89, 157)","114 (81, 148)"
2018,"157 (84, 245)","138 (70, 222)","138 (70, 220)"
2019,"30 (12, 48)","30 (12, 49)","30 (12, 49)"
2020,"185 (127, 241)","117 (70, 164)","123 (84, 165)"
2021,"167 (120, 215)","105 (62, 157)","217 (167, 265)"
2022,"235 (172, 298)","349 (293, 406)","356 (295, 416)"
2023,"240 (196, 287)","344 (295, 388)","319 (270, 366)"
2024,"145 (112, 179)","222 (188, 254)","213 (184, 241)"
2025,"273 (223, 320)","355 (309, 401)","365 (325, 407)"
Total,"2513 (1823, 3210)","2445 (1827, 3101)","2514 (1904, 3143)"
Total,"2513 (1823, 3210)","2445 (1827, 3101)","2514 (1904, 3143)"
