method,sensitivity_variant,analyte,treatment,first_included_year,last_included_year,n_included_years,missing_years,n_draws,mean_cumulative_load_kg,median_cumulative_load_kg,lower_95_raw_kg,lower_95_display_kg,upper_95_kg,interval_probability,n_input_annual_draws,n_input_annual_draws_below_zero,fraction_input_annual_draws_below_zero,n_cumulative_draws_below_zero,fraction_cumulative_draws_below_zero,source_file,source_units,output_units,conversion_factor_to_kg,provisional_qc_flag,provisional_qc_reason
ML,saved_imputed_row_draws,NO2,CT,2011,2025,15,None,2000,6.325441418591754,6.315076757717604,5.703504247657607,5.703504247657607,6.9845316356486675,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,NO2,MT,2011,2025,15,None,2000,5.120342102606601,5.1174926100387985,4.526737023405807,4.526737023405807,5.707258835740399,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,NO2,ST,2011,2025,15,None,2000,4.730965981397577,4.7243801042930125,4.320919100637382,4.320919100637382,5.171258288769371,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
Bayes,annual_draw_truncation,NO3,CT,2011,2025,15,None,400,87.531245040428,87.5829887136598,79.74937484636853,79.74937484636853,95.36512151005192,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,NO3,MT,2011,2025,15,None,400,76.88865773017088,76.8573680948586,71.74435486899084,71.74435486899084,82.49347202799702,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,NO3,ST,2011,2025,15,None,400,78.82882152598282,78.84247117644145,73.43910065439027,73.43910065439027,84.21961993377448,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,NO3,CT,2011,2025,15,None,400,87.531245040428,87.5829887136598,79.74937484636853,79.74937484636853,95.36512151005192,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,NO3,MT,2011,2025,15,None,400,76.88865773017088,76.8573680948586,71.74435486899084,71.74435486899084,82.49347202799702,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,NO3,ST,2011,2025,15,None,400,78.82882152598282,78.84247117644145,73.43910065439027,73.43910065439027,84.21961993377448,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
ML,saved_imputed_row_draws,NO3,CT,2011,2025,15,None,2000,70.88666245795889,70.83177117096098,66.43446960544534,66.43446960544534,75.89403096481023,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
