method,sensitivity_variant,analyte,treatment,first_included_year,last_included_year,n_included_years,missing_years,n_draws,mean_cumulative_load_kg,median_cumulative_load_kg,lower_95_raw_kg,lower_95_display_kg,upper_95_kg,interval_probability,n_input_annual_draws,n_input_annual_draws_below_zero,fraction_input_annual_draws_below_zero,n_cumulative_draws_below_zero,fraction_cumulative_draws_below_zero,source_file,source_units,output_units,conversion_factor_to_kg,provisional_qc_flag,provisional_qc_reason
Bayes,annual_draw_truncation,TDS,CT,2011,2025,15,None,400,12429.297961494414,12399.37222466449,10823.77753018782,10823.77753018782,13978.4397758868,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,TDS,MT,2011,2025,15,None,400,11093.065344519979,11091.227047829629,9948.071166880229,9948.071166880229,12294.478955744049,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,TDS,ST,2011,2025,15,None,400,11288.389471643308,11233.946386420801,10072.154292817373,10072.154292817373,12584.36500235049,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TDS,CT,2011,2025,15,None,400,12429.297961494414,12399.37222466449,10823.77753018782,10823.77753018782,13978.4397758868,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TDS,MT,2011,2025,15,None,400,11093.065344519979,11091.227047829629,9948.071166880229,9948.071166880229,12294.478955744049,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TDS,ST,2011,2025,15,None,400,11288.389471643308,11233.946386420801,10072.154292817373,10072.154292817373,12584.36500235049,0.95,6000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
ML,saved_imputed_row_draws,TDS,CT,2011,2025,15,None,2000,5414.090854635594,5394.207503063559,4951.597332680904,4951.597332680904,5980.580460040279,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,TDS,MT,2011,2025,15,None,2000,6758.950856446999,6752.076858329836,6163.600278735675,6163.600278735675,7408.781412851148,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,TDS,ST,2011,2025,15,None,2000,5599.497930140005,5585.39073462969,5270.793033386903,5270.793033386903,5986.543396827251,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
Bayes,annual_draw_truncation,TKN,CT,2011,2025,15,None,400,25.030150723187813,24.98090605457957,20.330113518378443,20.330113518378443,29.69849778098429,0.95,6000,434,0.07233333333333333,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,TKN,MT,2011,2025,15,None,400,17.426917628231035,17.430276957143302,13.497238760783842,13.497238760783842,21.59792751759605,0.95,6000,479,0.07983333333333334,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,TKN,ST,2011,2025,15,None,400,18.162220186254896,18.13634287655831,14.602643083425264,14.602643083425264,22.03968429149685,0.95,6000,480,0.08,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TKN,CT,2011,2025,15,None,400,22.740143864298343,22.578312229053573,17.74292294356525,17.74292294356525,27.84497101246233,0.95,6000,434,0.07233333333333333,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TKN,MT,2011,2025,15,None,400,15.57574417303551,15.49690568408688,11.819731880799969,11.819731880799969,19.709136417780517,0.95,6000,479,0.07983333333333334,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TKN,ST,2011,2025,15,None,400,16.57052501815856,16.505299885596692,13.010657976838045,13.010657976838045,20.524279023923352,0.95,6000,480,0.08,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
ML,saved_imputed_row_draws,TKN,CT,2011,2025,15,None,2000,32.49474323158716,32.25309532340407,28.995020247033104,28.995020247033104,37.04390381088094,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,TKN,MT,2011,2025,15,None,2000,24.589739776538178,24.36006953989351,21.091755033340526,21.091755033340526,29.3805057039083,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,TKN,ST,2011,2025,15,None,2000,22.54854814512021,22.43404183756971,18.767029831723477,18.767029831723477,27.28350686161585,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
Bayes,annual_draw_truncation,TN,CT,2011,2025,15,None,400,92.64502647603223,92.89069553292084,59.2020541587358,59.2020541587358,131.30371705604784,0.95,6000,66,0.011,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,TN,MT,2011,2025,15,None,400,74.87809409748141,75.01377728665757,44.1581934474368,44.1581934474368,113.16777119057008,0.95,6000,96,0.016,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,TN,ST,2011,2025,15,None,400,76.3896845434162,76.32544636811727,45.84692919606443,45.84692919606443,112.08785614809429,0.95,6000,97,0.016166666666666666,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TN,CT,2011,2025,15,None,400,92.33802035927485,92.7523467501926,58.545466608511276,58.545466608511276,131.30371705604784,0.95,6000,66,0.011,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TN,MT,2011,2025,15,None,400,74.49815422489839,74.6369174858554,42.44862163557111,42.44862163557111,111.04930569991289,0.95,6000,96,0.016,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TN,ST,2011,2025,15,None,400,76.01102778359038,76.16286992999139,45.020870627766605,45.020870627766605,111.86410094984171,0.95,6000,97,0.016166666666666666,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
ML,saved_imputed_row_draws,TN,CT,2011,2025,15,None,2000,50.60896225829869,50.624373357159755,47.11641775375061,47.11641775375061,54.32587811549019,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,TN,MT,2011,2025,15,None,2000,34.8442146029495,34.794652153218166,31.515287939946777,31.515287939946777,38.55265883908345,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,TN,ST,2011,2025,15,None,2000,31.564416943206528,31.491666472065777,29.086380627649856,29.086380627649856,34.24837797483565,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
Bayes,annual_draw_truncation,TP,CT,2011,2025,15,None,400,13.0135217232484,12.838816987952121,9.743238622515085,9.743238622515085,17.108929195525675,0.95,6000,1213,0.20216666666666666,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,TP,MT,2011,2025,15,None,400,10.82688683040325,10.739008363153722,8.522232871474367,8.522232871474367,13.56839063257889,0.95,6000,1307,0.21783333333333332,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,TP,ST,2011,2025,15,None,400,10.881450147654459,10.851745444827417,8.786582242202808,8.786582242202808,13.324060180957638,0.95,6000,1456,0.24266666666666667,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TP,CT,2011,2025,15,None,400,12.24997638074388,12.076355190526296,8.13707642366305,8.13707642366305,16.695904879552035,0.95,6000,1213,0.20216666666666666,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TP,MT,2011,2025,15,None,400,10.131179407433413,10.107372099063234,7.032335361756111,7.032335361756111,13.529305186026287,0.95,6000,1307,0.21783333333333332,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TP,ST,2011,2025,15,None,400,10.06204108843802,10.088537633150263,7.186227913029308,7.186227913029308,12.960900548093358,0.95,6000,1456,0.24266666666666667,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
ML,saved_imputed_row_draws,TP,CT,2011,2025,15,None,2000,13.530952785173433,13.501647771452912,12.467882776097015,12.467882776097015,14.71695418336137,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,TP,MT,2011,2025,15,None,2000,21.99016039972574,21.78161595035626,15.953316367612969,15.953316367612969,29.803060764356538,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,TP,ST,2011,2025,15,None,2000,16.978792748032085,16.813083101348237,14.724032751029391,14.724032751029391,20.268394120585224,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
Bayes,annual_draw_truncation,TSS,CT,2011,2025,15,None,400,18077.167640878743,17908.511892609567,14113.679429147778,14113.679429147778,22094.404364827955,0.95,6000,340,0.056666666666666664,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,TSS,MT,2011,2025,15,None,400,13250.042617995769,13201.870829890417,10888.309157619762,10888.309157619762,15884.87911452802,0.95,6000,973,0.16216666666666665,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,annual_draw_truncation,TSS,ST,2011,2025,15,None,400,14066.887853430602,14000.478165028753,12089.871371736943,12089.871371736943,16346.980083424725,0.95,6000,869,0.14483333333333334,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TSS,CT,2011,2025,15,None,400,17927.2355305799,17806.885392968066,13832.947128116299,13832.947128116299,22092.88102389371,0.95,6000,340,0.056666666666666664,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TSS,MT,2011,2025,15,None,400,12588.114967970732,12575.132857418208,9478.569263928046,9478.569263928046,15414.333380180484,0.95,6000,973,0.16216666666666665,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
Bayes,raw_draws_bound_floor,TSS,ST,2011,2025,15,None,400,13525.351405022555,13520.811120157668,10877.616244676532,10877.616244676532,16316.985660270962,0.95,6000,869,0.14483333333333334,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\annual_load_draws_bayes_v2p1.csv,g,kg,0.001,True,Physical event aggregation is unresolved; SampleID and MeasureMethod are part of the upstream event key.
ML,saved_imputed_row_draws,TSS,CT,2011,2025,15,None,2000,18648.618249796677,18608.09715555927,17683.42029505634,17683.42029505634,19779.307627018126,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,TSS,MT,2011,2025,15,None,2000,18888.351302674724,18745.72799578347,14863.708260884572,14863.708260884572,24062.209037098164,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
ML,saved_imputed_row_draws,TSS,ST,2011,2025,15,None,2000,17828.36020972736,17749.10275882527,16370.10927198044,16370.10927198044,19742.27055871664,0.95,30000,0,0.0,0,0.0,C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\wq_cleaned_ml_imputed.csv; C:\Users\ansle\OneDrive\Documents\GitHub\kerbel-long-term-impacts\out\ml_catboost_conformal_loyo\imputed_row_draws.csv,mg,kg,1e-06,True,Saved imputed rows contain repeated analyte-event rows and multiple sample IDs per plot event; upstream physical-event aggregation is unresolved.
