Analyte,CT,MT,ST
NH4,0.92* (15),0.87* (15),0.82* (15)
NO3,0.86* (15),0.96* (15),0.92* (15)
NO2,0.78* (15),0.54* (15),0.73* (15)
OP,0.60* (15),0.58* (15),0.69* (15)
Se,0.66* (15),0.69* (15),0.66* (15)
TDS,0.92* (15),0.87* (15),0.80* (15)
TKN,0.66* (15),0.70* (15),0.66* (15)
TN,0.72* (15),0.77* (15),0.86* (15)
TP,0.68* (15),0.70* (15),0.72* (15)
TSS,0.63* (15),0.46 (15),0.54* (15)
